Comparison,serotype,RR,lci_RR,uci_RR
PCV13 vs PCV7,4,1.0735469595202676,1.0035478300390148,1.1484286446520495
PCV13 vs PCV7,6B,1.0001964896320914,0.9530101704040495,1.0497191414528346
PCV13 vs PCV7,9V,1.0383198408958576,0.989963872515662,1.0890378143379595
PCV13 vs PCV7,14,1.0640013731021356,1.0097422967516514,1.1211760917663853
PCV13 vs PCV7,18C,1.0495607465073944,0.9981115857610154,1.1036619315156582
PCV13 vs PCV7,19F,0.9363140627642508,0.8854896506640088,0.9900556415003742
PCV13 vs PCV7,23F,1.0852638849720768,1.008825944232253,1.167493467786482
PCV13 vs PCV7,1,0.4914288345898932,0.2836645636853646,0.8513657692338703
PCV13 vs PCV7,3,0.8270280425836967,0.5860140731992374,1.167165456429709
PCV13 vs PCV7,5,0.5757330658662742,0.39717246033054904,0.8345708633874388
PCV13 vs PCV7,6A,0.5970891872377988,0.5001217149803581,0.7128574641680915
PCV13 vs PCV7,7F,0.4131300202554924,0.20261751709902343,0.8423576405434403
PCV13 vs PCV7,19A,0.6691637752843063,0.5801691541037685,0.7718096610021704
PCV13 vs PCV10,6B,0.9119231877392391,0.8118581693826249,1.0243216508726962
PCV13 vs PCV10,9V,0.9723871896562107,0.9004341938868142,1.0500898933280167
PCV13 vs PCV10,14,0.9598224157623969,0.8595180720303716,1.0718321112478135
PCV13 vs PCV10,19F,0.8866378852552432,0.7755185511786008,1.0136788325374901
PCV13 vs PCV10,23F,1,0.9046803716167406,1.105362768303368
PCV13 vs PCV10,1,1.1587587713045517,0.9428681892910916,1.4240822898954502
PCV13 vs PCV10,5,0.9175244633472279,0.7825339805889957,1.0758013859116715
PCV13 vs PCV10,6A,0.9475964900303486,0.8575577082412786,1.04708884228838
PCV13 vs PCV10,7F,1.0221621301683308,0.9402059618750499,1.1112622794547988
PCV13 vs PCV10,19A,0.8732609798181206,0.74355459465725,1.0255934726950695
PCV14 vs PCV13,4,1.0082383721480377,0.9498895524288464,1.0701713820016687
PCV14 vs PCV13,6B,1.0085751204445281,0.9303643673311823,1.0933606329933665
PCV14 vs PCV13,9V,0.9961118769845474,0.9365418457263521,1.05947094195255
PCV14 vs PCV13,14,1.0249227761424071,0.9567342441298264,1.0979712532510888
PCV14 vs PCV13,18C,0.9863997308122752,0.9239558270727234,1.053063794217455
PCV14 vs PCV13,19F,0.9529777308088162,0.8834797624343426,1.0279426807866612
PCV14 vs PCV13,23F,1.0084427230356192,0.9326420216248658,1.090404144423746
PCV14 vs PCV13,1,1.000436934992999,0.9230993961910665,1.0842538355328113
PCV14 vs PCV13,3,0.96321085146828,0.883636941082012,1.0499506089573278
PCV14 vs PCV13,5,0.990203602480143,0.8972476445283749,1.0927899118420537
PCV14 vs PCV13,7F,0.9850851779373455,0.915361581600734,1.0601196590476105
PCV14 vs PCV13,19A,0.9824051198737922,0.911129556797335,1.0592564058032354
PCV15 vs PCV13,4,1.024764207645175,0.9911133627309766,1.059557585195922
PCV15 vs PCV13,6B,1.0352472163817976,1.0047557393856112,1.0666640229212396
PCV15 vs PCV13,9V,1.0177541198516948,0.9932794390996714,1.0428318635227054
PCV15 vs PCV13,14,1.079247133458181,1.0410614924415615,1.118833405648306
PCV15 vs PCV13,18C,1.0092234388949184,0.9868680621937341,1.03208522864826
PCV15 vs PCV13,19F,1.0239726088657621,1.0016768911829765,1.0467645933900476
PCV15 vs PCV13,23F,1.0432382971252163,1.0060730942442961,1.0817764144723736
PCV15 vs PCV13,1,1.048884860763077,1.0065088911666757,1.0930449405794622
PCV15 vs PCV13,3,0.9572165794038462,0.9086536356267019,1.008374967050728
PCV15 vs PCV13,5,1.0779506527594946,1.0208480643053037,1.1382473557172847
PCV15 vs PCV13,6A,1.1342301407654103,1.0876031906313333,1.1828560483294885
PCV15 vs PCV13,7F,1.122645536432489,1.0599359660906449,1.1890652273271465
PCV15 vs PCV13,19A,1.0425865470853637,1.0168155483065398,1.0690107069799517
PCV20 vs PCV13,4,1.124749994222091,1.0377065372738639,1.2190947094021516
PCV20 vs PCV13,6B,1.175915709697904,1.0773040543346886,1.2835538404877613
PCV20 vs PCV13,9V,1.1080750103854589,1.0348871611588581,1.186438748806025
PCV20 vs PCV13,14,1.071921063781139,1.0218508963526916,1.1244446436157027
PCV20 vs PCV13,18C,1.1250799671395548,1.0435123031556024,1.2130234867676422
PCV20 vs PCV13,19F,1.0722965409268992,1.0251827853311477,1.1215754772085704
PCV20 vs PCV13,23F,1.2362662455082951,1.0888488678514918,1.40364220867393
PCV20 vs PCV13,1,1.1257870437560862,1.0276705248244404,1.233271206358264
PCV20 vs PCV13,3,1.0854745201846068,0.9856848633230575,1.1953667727002826
PCV20 vs PCV13,5,1.1321029324525238,1.0279407714422149,1.246819938729954
PCV20 vs PCV13,6A,1.1414455342098824,1.0760443593558229,1.210821743768693
PCV20 vs PCV13,7F,1.1531892499302565,1.0522979204822351,1.263753752877589
PCV20 vs PCV13,19A,1.0617175437603725,1.0153752642845288,1.1101749100839646
