serotype,vaccine,median,lci,uci,in_pcv7
4,PCV13,0.5708220523592532,0.5410182483545677,0.5983693259820889,TRUE
4,PCV14,0.5672407749515158,0.5263381628454122,0.6040831797610758,TRUE
4,PCV15,0.560263347351849,0.5256884310208496,0.5917148996365095,TRUE
4,PCV20,0.517038481064287,0.46406749631004346,0.5655155012628696,TRUE
6B,PCV10,0.6351675093679533,0.5857133232481093,0.6779282393620923,TRUE
6B,PCV13,0.59986759722966565,0.5803757269350759,0.6187357197913274,TRUE
6B,PCV14,0.5963586908172721,0.5565763160940389,0.6330479357115004,TRUE
6B,PCV15,0.5856217140949651,0.5613127144408717,0.6085689583537174,TRUE
6B,PCV20,0.5294683213673748,0.47998635204231543,0.5744826040679221,TRUE
9V,PCV10,0.5959493770782118,0.5574019342852872,0.6311297275508339,TRUE
9V,PCV13,0.5847325721052301,0.5645592485399208,0.603989771028035,TRUE
9V,PCV14,0.5863921211748278,0.552419159510259,0.6169894449638912,TRUE
9V,PCV15,0.5773502132288583,0.5543154324445295,0.5995254216646019,TRUE
9V,PCV20,0.5398998963317923,0.4999271287294801,0.576470763702702,TRUE
14,PCV10,0.5918631257318463,0.5389165023144191,0.639604410222343,TRUE
14,PCV13,0.5745379814135476,0.5516522822191251,0.5959901931463303,TRUE
14,PCV14,0.5637560897673308,0.5241749147148971,0.6004830221581896,TRUE
14,PCV15,0.5408055208002466,0.5108904418227638,0.5690088171856884,TRUE
14,PCV20,0.5439089306182436,0.5107747858335498,0.5751462069642711,TRUE
18C,PCV13,0.5801457787749003,0.5585821424181412,0.6004878607837268,TRUE
18C,PCV14,0.5856455649205707,0.550433246665575,0.6183050876583356,TRUE
18C,PCV15,0.5761254428395479,0.5518430188950872,0.59865031865888,TRUE
18C,PCV20,0.527512783755004,0.4819359128042432,0.5681325544805255,TRUE
19F,PCV10,0.6678456243928049,0.6159700176241489,0.7128366938905303,TRUE
19F,PCV13,0.6254944864783847,0.6040231692891869,0.6455618445439569,TRUE
19F,PCV14,0.6430268900096083,0.6083381708596964,0.6752942812938997,TRUE
19F,PCV15,0.6164439611130919,0.5929273692645627,0.6386832902920888,TRUE
19F,PCV20,0.5985549320068999,0.568427463629871,0.6258890667049813,TRUE
23F,PCV10,0.565570447295283,0.5084518003211832,0.6171074381320816,TRUE
23F,PCV13,0.5658389220252122,0.5328673120186769,0.5968058823963132,TRUE
23F,PCV14,0.5621735399864634,0.5123885790570191,0.6069363797282883,TRUE
23F,PCV15,0.5472840363880724,0.5084169278290572,0.5829129306179635,TRUE
23F,PCV20,0.46340229984812087,0.37781657364666477,0.536540974373829,TRUE
1,PCV10,-0.1601049191789773,-0.4212748374173597,0.05552371786638099,FALSE
1,PCV13,0,0,0,FALSE
1,PCV14,-1.8005665150377936e-4,-0.08371278573066633,0.07660351395029641,FALSE
1,PCV15,-0.04852199699671611,-0.09357353075131969,-0.006395533823587086,FALSE
1,PCV20,-0.12549831999084915,-0.23198076596712133,-0.027143458915643265,FALSE
3,PCV13,0,0,0,FALSE
3,PCV14,0.03644020671085435,-0.049612499058891556,0.11716832862620886,FALSE
3,PCV15,0.04264589985246031,-0.007966106604756577,0.09020563901816563,FALSE
3,PCV20,-0.08568492372863645,-0.19437210576805386,0.015561413306567271,FALSE
5,PCV10,0.08373925287530504,-0.07488178943989965,0.21730373085926585,FALSE
5,PCV13,0,0,0,FALSE
5,PCV14,0.010481194255786197,-0.09279978145778618,0.10367349227423969,FALSE
5,PCV15,-0.0781806937216255,-0.13839600659340257,-0.020774948022886007,FALSE
5,PCV20,-0.13206973076612605,-0.24490824179192855,-0.027506092824359243,FALSE
6A,PCV10,0.05246454558034025,-0.04565725928808418,0.14297147113513625,FALSE
6A,PCV13,0,0,0,FALSE
6A,PCV15,-0.13440897206076863,-0.18275864051205964,-0.08717416146917242,FALSE
6A,PCV20,-0.1415944179458335,-0.21044827831258625,-0.07581483898603317,FALSE
7F,PCV10,-0.022273367849436898,-0.10990235581155453,0.059873214623766775,FALSE
7F,PCV13,0,0,0,FALSE
7F,PCV14,0.014828025834725922,-0.05887405419551992,0.0846303616822631,FALSE
7F,PCV15,-0.12264450611839217,-0.18943138613354554,-0.05904088503979675,FALSE
7F,PCV20,-0.15292720203073584,-0.26231547319550763,-0.053141404696537296,FALSE
19A,PCV10,0.1265302783045616,-0.02537035234251276,0.256929245226026,FALSE
19A,PCV13,0,0,0,FALSE
19A,PCV14,0.018143904664560173,-0.058634688049047756,0.08893017517521537,FALSE
19A,PCV15,-0.04262857545581855,-0.06910505577546067,-0.016873848132778976,FALSE
19A,PCV20,-0.06157557807749037,-0.10887691930169323,-0.015400925412247147,FALSE
