st,serotype,study_id,logRR,logRR_lci,logRR_uci,sd_logRR,Comparison
1,4,NCT00688870,0.184411944548879,0,0.4965730914479976,0.1352424022105271,PCV13 vs PCV7
1,4,NCT00689351,0.10362101871262741,-0.010704402916400778,0.35073874908504826,0.09869301912728856,PCV13 vs PCV7
1,4,NCT00366899,0.16937441582466617,0,0.42672606081142905,0.11219096779882147,PCV13 vs PCV7
1,4,NCT00452790,0.03483966083795176,-0.04333600291187223,0.16309004886388986,0.05666710506767817,PCV13 vs PCV7
1,4,NCT00366678,0.05034045313337154,-0.018617992756780888,0.1849961587258865,0.058046745209697166,PCV13 vs PCV7
2,6B,NCT00688870,-0.008855775061171745,-0.1614089665960205,0.1281893627027848,0.07159027965806754,PCV13 vs PCV7
2,6B,NCT00689351,-0.04175562750386774,-0.209591622242509,0.08480013208638322,0.07397725126304038,PCV13 vs PCV7
2,6B,NCT00366899,0.013998641808606216,-0.06919126917393381,0.11647515840231573,0.045400252548133145,PCV13 vs PCV7
2,6B,NCT00452790,-0.02008963974687461,-0.13725102101515507,0.07818230709554859,0.05310843369157583,PCV13 vs PCV7
2,6B,NCT00366678,0.02342664291261487,-0.0611119067361803,0.1369229755030047,0.04837175675380006,PCV13 vs PCV7
3,9V,NCT00688870,0.05087949368649802,-0.015565346133096855,0.2104773230592095,0.06425168819232485,PCV13 vs PCV7
3,9V,NCT00689351,0.006325283714983865,-0.07410195442354503,0.12409775639246919,0.04832425335907605,PCV13 vs PCV7
3,9V,NCT00366899,0.09931700921782705,0,0.2410159180517362,0.0719033325965091,PCV13 vs PCV7
3,9V,NCT00452790,0.021070984453312125,-0.020449144602685675,0.12458582166234193,0.038658006949930615,PCV13 vs PCV7
3,9V,NCT00366678,0.09723534038697945,0,0.26965186862396956,0.08005434643676299,PCV13 vs PCV7
4,14,NCT00688870,0.16619344670761782,0,0.41260225317476457,0.10394052397304952,PCV13 vs PCV7
4,14,NCT00689351,0.13282674952708096,0,0.351352100538885,0.08657055017517601,PCV13 vs PCV7
4,14,NCT00366899,0.06494895364888054,0,0.17874677724329716,0.04660928366427386,PCV13 vs PCV7
4,14,NCT00452790,0.011779187599837204,-0.09333957494034915,0.1253554373473866,0.05373433940108503,PCV13 vs PCV7
4,14,NCT00366678,0.05386215385645654,-0.02153853125246043,0.18416633018713577,0.05201658196121085,PCV13 vs PCV7
5,18C,NCT00688870,0.08950795554657676,-0.005858537575435551,0.27900884024037004,0.08233894313506827,PCV13 vs PCV7
5,18C,NCT00689351,0.022092033958963864,-0.07330281610350613,0.17014376991937966,0.06012067890695529,PCV13 vs PCV7
5,18C,NCT00366899,0.13932850244531547,0,0.3085254809093907,0.09121704719711272,PCV13 vs PCV7
5,18C,NCT00452790,0.028672346064933407,-0.0147928449397962,0.13176008164896552,0.04097219800626753,PCV13 vs PCV7
5,18C,NCT00366678,0.053642703954715376,0,0.16963789687377584,0.05125667889637834,PCV13 vs PCV7
6,19F,NCT00688870,-0.025912564925972603,-0.17106537388025755,0.07855313483809474,0.061935816183102156,PCV13 vs PCV7
6,19F,NCT00689351,-0.13257705089001437,-0.3193301687329813,0,0.08586982414504385,PCV13 vs PCV7
6,19F,NCT00366899,-0.037950030192303696,-0.147847664422397,0.03305868646921746,0.046738726668660614,PCV13 vs PCV7
6,19F,NCT00452790,-0.14633983358134506,-0.33026915978044796,0,0.08452921500451832,PCV13 vs PCV7
6,19F,NCT00366678,-0.07760069271001124,-0.2233696502845424,0,0.06464137602556061,PCV13 vs PCV7
7,23F,NCT00688870,0.16372105581945862,0,0.4756347784218565,0.1171890745807239,PCV13 vs PCV7
7,23F,NCT00689351,-0.020677546772342126,-0.20815787861846421,0.14769945423813152,0.09062974495396292,PCV13 vs PCV7
7,23F,NCT00366899,0.1416301710587593,0,0.34758122112980955,0.09147921158019633,PCV13 vs PCV7
7,23F,NCT00452790,0.08895310243789023,0,0.2692427283903276,0.07449386960724247,PCV13 vs PCV7
7,23F,NCT00366678,0.0733427557197377,0,0.2300893086113643,0.06653149385356269,PCV13 vs PCV7
8,1,NCT00688870,-0.8198667200961616,-2.4254921790964854,0,0.6471624612244028,PCV13 vs PCV7
8,1,NCT00689351,-0.9100464843203175,-2.484565468885365,0,0.6506415371233925,PCV13 vs PCV7
8,1,NCT00366899,-0.6927184771875017,-2.2607467023937047,0,0.62031217083114365,PCV13 vs PCV7
8,1,NCT00452790,-0.6309041430111164,-2.1532111462701318,0,0.5991741625516568,PCV13 vs PCV7
8,1,NCT00366678,-0.5306373300924778,-2.238796834855727,0,0.6216892643919467,PCV13 vs PCV7
9,3,NCT00688870,-0.23683430960376262,-1.221067521726362,0,0.39995654836235717,PCV13 vs PCV7
9,3,NCT00689351,-0.34403705163061415,-1.4428987644018147,0,0.45652938627685397,PCV13 vs PCV7
9,3,NCT00366899,-0.21538467134826877,-1.3287455672319721,0,0.4196549088624321,PCV13 vs PCV7
9,3,NCT00452790,-0.09500861439904007,-1.097527074715343,0,0.35226775252673603,PCV13 vs PCV7
9,3,NCT00366678,-0.13551782060783912,-1.121816422902516,0,0.36311670227262527,PCV13 vs PCV7
10,5,NCT00688870,-0.5227144595258375,-1.355531414045233,0,0.3796239988180543,PCV13 vs PCV7
10,5,NCT00689351,-0.7154673033557417,-1.7535223964766777,0,0.4467781888310855,PCV13 vs PCV7
10,5,NCT00366899,-0.5276379856510687,-1.492498463646735,0,0.44070092838439856,PCV13 vs PCV7
10,5,NCT00452790,-0.5053683480887008,-1.41519009293443,0,0.41450560850062246,PCV13 vs PCV7
10,5,NCT00366678,-0.5084206676832626,-1.518508519752819,0,0.4494027212423598,PCV13 vs PCV7
11,6A,NCT00688870,-0.4515272414385627,-0.8492495554281076,-0.11378639060680003,0.1754184010320999,PCV13 vs PCV7
11,6A,NCT00689351,-0.5703331586091203,-1.0426398354466857,-0.15734806181015176,0.2104782424381214,PCV13 vs PCV7
11,6A,NCT00366899,-0.5484406078883235,-0.9281083967923665,0,0.22059032604108902,PCV13 vs PCV7
11,6A,NCT00452790,-0.5491831933078719,-0.9436009214830641,-0.01714822554321164,0.20737544554328977,PCV13 vs PCV7
11,6A,NCT00366678,-0.49008830547494675,-0.8521195663597895,0,0.20650617597844892,PCV13 vs PCV7
12,7F,NCT00688870,-0.9147889728825835,-3.041303486846365,0,0.8337353622727806,PCV13 vs PCV7
12,7F,NCT00689351,-1.2012553059373712,-3.396819181488924,0,0.8680686270789216,PCV13 vs PCV7
12,7F,NCT00366899,-0.7655616503429372,-2.850090145163969,0,0.82240680371497,PCV13 vs PCV7
12,7F,NCT00452790,-0.8150990257302735,-2.843757897863186,0,0.8057862565133472,PCV13 vs PCV7
12,7F,NCT00366678,-0.7807980350919568,-2.6073807228325565,0,0.7486454204482259,PCV13 vs PCV7
13,19A,NCT00688870,-0.4803476551319692,-0.8395694073306548,0,0.20408379037144453,PCV13 vs PCV7
13,19A,NCT00689351,-0.49980736948755444,-0.8713731984915407,-0.03687844721012043,0.19467461064472663,PCV13 vs PCV7
13,19A,NCT00366899,-0.3272257923693753,-0.6078804256417722,-0.022492098193966876,0.13210829048860215,PCV13 vs PCV7
13,19A,NCT00452790,-0.5412983059032457,-0.9970009752539924,-0.19918539483193326,0.1958085519684334,PCV13 vs PCV7
13,19A,NCT00366678,-0.33159026121459356,-0.6190564646765807,-0.006988268527634451,0.1350201555910822,PCV13 vs PCV7
2,6B,NCT03896477,-0.09219951642497604,-0.24657984071160408,0,0.05930107443865148,PCV13 vs PCV10
3,9V,NCT03896477,-0.02800121057160787,-0.12811726893510084,0.016040392152014145,0.039222950902975354,PCV13 vs PCV10
4,14,NCT03896477,-0.0410069952126646,-0.1737856980729578,0.05078729540198834,0.056314506609321135,PCV13 vs PCV10
6,19F,NCT03896477,-0.12031862663979442,-0.29081295269913776,0,0.06831874920433215,PCV13 vs PCV10
7,23F,NCT03896477,0,-0.1029245384212253,0.09933395021793147,0.05110896846894528,PCV13 vs PCV10
8,1,NCT03896477,0.1473494074956445,0,0.386614038702282,0.10519295493490544,PCV13 vs PCV10
10,5,NCT03896477,-0.08607603636011474,-0.26709397910042615,0,0.0811948446315017,PCV13 vs PCV10
11,6A,NCT03896477,-0.053826510766894486,-0.1709710659234138,0.026593552179212027,0.05093892510153799,PCV13 vs PCV10
12,7F,NCT03896477,0.02192011928593418,-0.04520218900256232,0.12411114439482401,0.04264104011583866,PCV13 vs PCV10
13,19A,NCT03896477,-0.1355208218636541,-0.3576489020252671,-0.03451803719133424,0.08203686971978964,PCV13 vs PCV10
1,4,CTRI/2022/11/047366,0.026977895773992788,-0.033362293075231655,0.17487264141930536,0.056357369724359466,PCV14 vs PCV13
1,4,CTRI/2023/09/057894,4.895378914326898e-4,-0.053423760017087166,0.09049058000704747,0.03612859239979908,PCV14 vs PCV13
2,6B,CTRI/2022/11/047366,0.06704977757797126,-0.03980252768290802,0.23937474350492038,0.07274026947518235,PCV14 vs PCV13
2,6B,CTRI/2023/09/057894,-0.019063729658732598,-0.13596061542456014,0.06265131700191112,0.049960632329130235,PCV14 vs PCV13
3,9V,CTRI/2022/11/047366,0.005067552007180343,-0.06129735181999614,0.14276704760152456,0.049821801506730636,PCV14 vs PCV13
3,9V,CTRI/2023/09/057894,-0.009840852700006675,-0.11904101633832896,0.0449454403156315,0.04057588906754306,PCV14 vs PCV13
4,14,CTRI/2022/11/047366,0.01986534911808535,-0.06580331591988689,0.1307044727901803,0.04950921046474903,PCV14 vs PCV13
