st,serotype,study_id,logRR,logRR_lci,logRR_uci,sd_logRR,Comparison
1,4,NCT00688870,0.13031821719336945,0.028803656090227638,0.29608554657350744,0.06954624344282509,PCV13 vs PCV7
1,4,NCT00689351,0.06967563569778701,-0.010114270478039233,0.1974905431368163,0.05411763856983393,PCV13 vs PCV7
1,4,NCT00366899,0.11698745414075695,0.03275622539074856,0.2398681501824325,0.05303750768271532,PCV13 vs PCV7
1,4,NCT00452790,0.02566754790915038,-0.027969628546187432,0.10194408715284826,0.032654778478452544,PCV13 vs PCV7
1,4,NCT00366678,0.03714433744610002,-0.01682955583960963,0.11283400445355912,0.033630636279424767,PCV13 vs PCV7
2,6B,NCT00688870,-0.006108704788649,-0.10732220290610592,0.09120681385234768,0.04832703732654948,PCV13 vs PCV7
2,6B,NCT00689351,-0.029342180818638486,-0.13532341957800642,0.055176200115609524,0.047054392579178705,PCV13 vs PCV7
2,6B,NCT00366899,0.010657707846622344,-0.04753084917020751,0.07777163828539907,0.03072965368256165,PCV13 vs PCV7
2,6B,NCT00452790,-0.013999578581433969,-0.0903729637045295,0.050454724526795364,0.0350331769290596,PCV13 vs PCV7
2,6B,NCT00366678,0.017640263556727653,-0.03997614795684961,0.0881917711493359,0.03156863016265346,PCV13 vs PCV7
3,9V,NCT00688870,0.052067756035467205,-0.01407845501750724,0.152447765579711,0.042859011203866204,PCV13 vs PCV7
3,9V,NCT00689351,0.012273220006231877,-0.05540531124653405,0.08705965813950493,0.03519605530180723,PCV13 vs PCV7
3,9V,NCT00366899,0.08607543617722246,0.01642232807552233,0.17018761506413335,0.03850659141326556,PCV13 vs PCV7
3,9V,NCT00452790,0.025837861013203067,-0.01866332088012219,0.09056592732649978,0.02770347910392505,PCV13 vs PCV7
3,9V,NCT00366678,0.09213055987166152,0.01693427618925889,0.19202838773691486,0.04451770986156666,PCV13 vs PCV7
4,14,NCT00688870,0.1188273524291863,0.024999801678339397,0.2733732957700714,0.06259546852478627,PCV13 vs PCV7
4,14,NCT00689351,0.09441074258259619,0.013668009254994918,0.22180026627717625,0.053637675692132326,PCV13 vs PCV7
4,14,NCT00366899,0.046445644224520244,-0.0012644879204568298,0.11894002043863748,0.03032606962507471,PCV13 vs PCV7
4,14,NCT00452790,0.010076302370096268,-0.05679869849491263,0.08650409898091635,0.035722617202090176,PCV13 vs PCV7
4,14,NCT00366678,0.039009963827921545,-0.018622468670818314,0.11917593450941037,0.03470122054153528,PCV13 vs PCV7
5,18C,NCT00688870,0.07681847096549665,-0.007641167897973375,0.19820526564594876,0.05433161442384366,PCV13 vs PCV7
5,18C,NCT00689351,0.019637305524170756,-0.0529946140178257,0.11002900927186664,0.04127090399157666,PCV13 vs PCV7
5,18C,NCT00366899,0.11623732466288939,0.021973962765093693,0.22733675560172933,0.0508850679089902,PCV13 vs PCV7
5,18C,NCT00452790,0.0320497224451346,-0.014022556707060652,0.10029704667185879,0.029305465534515553,PCV13 vs PCV7
5,18C,NCT00366678,0.05362583271481158,0.0034794720897028514,0.1264956092919317,0.03207052644028055,PCV13 vs PCV7
6,19F,NCT00688870,-0.02388528175631288,-0.12098773808713331,0.0562016802331447,0.044366351294861626,PCV13 vs PCV7
6,19F,NCT00689351,-0.10705780557447087,-0.2291213480338055,-0.023695628660532885,0.05239290665105924,PCV13 vs PCV7
6,19F,NCT00366899,-0.030428369990453508,-0.09774418397695143,0.022770461581869957,0.030842880676496716,PCV13 vs PCV7
