serotype,total_inv_var,pooled_logRR,se_logRR,lci_logRR,uci_logRR,Comparison
4,2725.6447452518596,0.054752175553241134,0.019154259853471047,0.017209826240437882,0.09229452486604439,PCV13 vs PCV7
6B,3757.0078412021394,4.558272783081869e-4,0.01631469462856321,-0.0315209741936757,0.032432628750292077,PCV13 vs PCV7
9V,3833.6193354842612,0.0460289614803415,0.01615085457135476,0.014373286520486174,0.07768463644019682,PCV13 vs PCV7
14,3304.22855133382,0.04658787657194359,0.017396623328221967,0.012490494848628533,0.08068525829525865,PCV13 vs PCV7
18C,3448.7418305312367,0.049844690811981576,0.017028235884762353,0.016469348477847368,0.08322003314611578,PCV13 vs PCV7
19F,2884.6810787365293,-0.0578325998861033,0.018618774714598437,-0.09432539832671624,-0.021339801445490365,PCV13 vs PCV7
23F,2202.1655208257343,0.06509786679027103,0.021309586407616467,0.02333107743134276,0.10686465614919931,PCV13 vs PCV7
1,15.687085093098819,-1.4623047538600995,0.25248110010265956,-1.9571677100613123,-0.9674417976588867,PCV13 vs PCV7
3,108.2774493996123,-0.7060130744330416,0.09610168258846537,-0.8943723723064337,-0.5176537765596495,PCV13 vs PCV7
5,117.88423139469131,-0.5164825959226356,0.09210265336716456,-0.6970037965222781,-0.3359613953229931,PCV13 vs PCV7
6A,419.3532258532389,-0.38574792095581417,0.04883261774656608,-0.4814598517390837,-0.29003599017254467,PCV13 vs PCV7
7F,25.652203932678685,-1.3216861859171836,0.19744114370445745,-1.70867082757792,-0.934701544256447,PCV13 vs PCV7
19A,772.5705350132869,-0.2995650769182488,0.03597749567866533,-0.37008096844843286,-0.22904918538806474,PCV13 vs PCV7
6B,783.4011705253621,-0.06316637069867426,0.03572793305253477,-0.13319311948164242,0.006860378084293892,PCV13 vs PCV10
9V,1294.9343040315364,-0.02895549597752467,0.027789205607612364,-0.08342233896844489,0.02551134701339556,PCV13 vs PCV10
14,650.4101831473589,-0.03148334784412876,0.03921085695369981,-0.10833662747338038,0.04536993178512286,PCV13 vs PCV10
19F,676.1075951535262,-0.08615027657049712,0.038458477972484105,-0.16152889339656595,-0.010771659744428272,PCV13 vs PCV10
23F,850.8359751459284,-3.2891176475580153e-4,0.03428286257096169,-0.06752332240384072,0.06686549887432912,PCV13 vs PCV10
1,517.0517713414914,0.0963873458302249,0.04397774784681031,0.010190960050476705,0.1825837316099731,PCV13 vs PCV10
5,629.2133603994843,-0.07910068994902764,0.03986585035243403,-0.15723775663979833,-9.636232582569404e-4,PCV13 vs PCV10
6A,991.7207082798494,-0.036017594854159896,0.03175450221066769,-0.09825641918706857,0.026221229478748775,PCV13 vs PCV10
7F,1711.6962898134414,0.014220919072432725,0.024170556259362257,-0.0331533711959173,0.06159520934078275,PCV13 vs PCV10
19A,773.8234321950586,-0.08958400902878495,0.03594835830602498,-0.16004279130859392,-0.019125226748975988,PCV13 vs PCV10
4,2188.097329198301,0.01591355335667897,0.021377980765452775,-0.02598728894360847,0.057814395656966416,PCV14 vs PCV13
6B,1228.9610378333477,0.004536439604311666,0.028525347432864775,-0.05137324136410329,0.06044612057272662,PCV14 vs PCV13
9V,1668.198007959374,-0.002169924955821608,0.024483652162024108,-0.050157883193388854,0.04581803328174564,PCV14 vs PCV13
14,1820.2546438539016,0.017881538527285343,0.023438721899199735,-0.028058356395146138,0.06382143344971683,PCV14 vs PCV13
18C,1419.0691400492763,-0.029434043533661948,0.026545946949128207,-0.08146409955395323,0.02259601248662934,PCV14 vs PCV13
19F,1467.7945883059124,-0.037732098324134655,0.026101613762582725,-0.08889126129879679,0.013427064650527488,PCV14 vs PCV13
23F,1162.248680595184,0.015153607005121295,0.029332593863841575,-0.042338276968008196,0.07264549097825078,PCV14 vs PCV13
1,1823.8172058416535,-0.0020994519739456936,0.02341581863989974,-0.04799445650814918,0.0437955525602578,PCV14 vs PCV13
3,2214.207595114187,-0.06235477939062814,0.0212515608020254,-0.10400783856259793,-0.020701720218658355,PCV14 vs PCV13
5,1176.1794793093668,-0.015390829876744755,0.029158367208324994,-0.07254122960506174,0.04175956985157223,PCV14 vs PCV13
7F,2099.4296898394077,-0.01362585739904675,0.02182475276727532,-0.056402372822906374,0.02915065802481287,PCV14 vs PCV13
19A,1819.0249031552312,-0.014703140485098925,0.02344664336315108,-0.06065856147687503,0.03125228050667719,PCV14 vs PCV13
4,8429.898799516548,0.04032617827003312,0.010891528180867967,0.018978783035531903,0.06167357350453433,PCV15 vs PCV13
6B,10527.900460756066,0.03031207280922149,0.009746060768042544,0.011209793703858106,0.049414351914584875,PCV15 vs PCV13
9V,12182.212230311748,0.040686054307710835,0.009060181949179978,0.02292809768731808,0.05844401092810359,PCV15 vs PCV13
14,7193.764258882252,0.05832825567130068,0.011790219733908055,0.03521942499284089,0.08143708634976046,PCV15 vs PCV13
18C,13582.081716278699,0.01957345679375338,0.00858058366918631,0.0027555128021482106,0.036391400785358546,PCV15 vs PCV13
19F,18882.30157762383,0.027224236019223486,0.007277337811166431,0.012960653909337282,0.04148781812910969,PCV15 vs PCV13
23F,6735.634079306092,0.057362700037412215,0.0121845854276999,0.03348091259912041,0.08124448747570402,PCV15 vs PCV13
1,7052.733942840929,0.06632653148414544,0.011907518079372363,0.04298779604857561,0.08966526691971527,PCV15 vs PCV13
3,7613.853770208024,-0.08516440151650063,0.011460346120243195,-0.1076266799121773,-0.06270212312082397,PCV15 vs PCV13
5,4605.79431931737,0.08228833958508396,0.014734918229432447,0.05340789985539636,0.11116877931477155,PCV15 vs PCV13
6A,8620.008412768104,0.0964261149168034,0.010770755197396687,0.0753154347299059,0.11753679510370091,PCV15 vs PCV13
7F,5864.4340301019165,0.08866627848146234,0.01305830918811534,0.06307199247275627,0.11426056449016841,PCV15 vs PCV13
19A,19016.14692848018,0.05016198913447611,0.007251681776884915,0.03594869285178168,0.06437528541717054,PCV15 vs PCV13
4,2429.277729097844,0.08173366702091388,0.020289036135893834,0.04196715619456196,0.1215001778472658,PCV20 vs PCV13
6B,1687.1900315941998,0.12046787809034629,0.024345460828451793,0.07275077486658077,0.1681849813141118,PCV20 vs PCV13
