Comparison,serotype,RR,lci_RR,uci_RR
PCV13 vs PCV7,4,1.0562788105242584,1.017358768496724,1.0966877763398715
PCV13 vs PCV7,6B,1.000455931183349,0.9689706328628852,1.0329642987039593
PCV13 vs PCV7,9V,1.0471047362210364,1.0144770788861248,1.080781765735291
PCV13 vs PCV7,14,1.0476901424415446,1.0125688268749191,1.0840296535267282
PCV13 vs PCV7,18C,1.0511078369938278,1.0166057157958739,1.0867809100649242
PCV13 vs PCV7,19F,0.9438079277680719,0.9099866059400907,0.9788862810762143
PCV13 vs PCV7,23F,1.0672634689233604,1.0236053760921813,1.112783635864518
PCV13 vs PCV7,1,0.23170164361234455,0.1412579383168765,0.3800540507127587
PCV13 vs PCV7,3,0.4936082589635221,0.4088641325810386,0.5959170636438922
PCV13 vs PCV7,5,0.5966153990287151,0.4980754056149985,0.7146506941427548
PCV13 vs PCV7,6A,0.6799419031841314,0.6178807188401584,0.7482366379282634
PCV13 vs PCV7,7F,0.2666852417309431,0.1811063542793133,0.3927030525246197
PCV13 vs PCV7,19A,0.7411404897013117,0.6906784052144516,0.7952894159245492
PCV13 vs PCV10,6B,0.9387872740012858,0.8752960390682303,1.006883964384152
PCV13 vs PCV10,9V,0.9714596973687842,0.9199625291360576,1.025839546419479
PCV13 vs PCV10,14,0.9690070923765329,0.8973254811736127,1.0464148904452562
PCV13 vs PCV10,19F,0.9174563486664934,0.8508419473964154,0.9892861468386044
PCV13 vs PCV10,23F,0.9996711423207888,0.9347059207728595,1.0691516664007505
PCV13 vs PCV10,1,1.1011855210153416,1.0102430647323446,1.200314651024207
PCV13 vs PCV10,5,0.9239468875962114,0.8545008714081737,0.999036840877539
PCV13 vs PCV10,6A,0.9646233209271577,0.9064164513829613,1.0265680304641804
PCV13 vs PCV10,7F,1.0143225173778765,0.9673901784220411,1.0635317498653976
PCV13 vs PCV10,19A,0.9143114514807841,0.8521073253985387,0.9810565000340881
PCV14 vs PCV13,4,1.016040848288726,0.97434747451573,1.0595183262566228
PCV14 vs PCV13,6B,1.0045467448235623,0.9499240534081655,1.062310359354609
PCV14 vs PCV13,9V,0.9978324276293832,0.9510792532166013,1.0468838955968605
PCV14 vs PCV13,14,1.018042370447867,0.9723316233771653,1.0659020473152816
PCV14 vs PCV13,18C,0.9709949189228871,0.921765801063298,1.022853236132721
PCV14 vs PCV13,19F,0.9629708878521104,0.9149450581027352,1.0135176124931402
PCV14 vs PCV13,23F,1.0152690050699005,0.9585454718665732,1.075349248323512
PCV14 vs PCV13,1,0.997902750333867,0.9531390707815313,1.0447687327594037
PCV14 vs PCV13,3,0.939549494857042,0.9012182331379831,0.9795110893533894
PCV14 vs PCV13,5,0.9847270036522627,0.9300274012073516,1.0426437656171483
PCV14 vs PCV13,7F,0.9864665543897657,0.9451587531720858,1.0295796972346725
PCV14 vs PCV13,19A,0.9854044228666484,0.941144527920474,1.0317457603995155
PCV15 vs PCV13,4,1.0411503194232736,1.0191600249059782,1.063615095907228
PCV15 vs PCV13,6B,1.030776160977617,1.0112728588701718,1.0506556017204045
PCV15 vs PCV13,9V,1.041525071903029,1.0231929669615851,1.0601856252236497
PCV15 vs PCV13,14,1.060062910266931,1.0358469745797967,1.0848449638803557
PCV15 vs PCV13,18C,1.01976627287023,1.002759312716986,1.0370616738187735
PCV15 vs PCV13,19F,1.0275982014607374,1.0130450072149446,1.0423604638735389
PCV15 vs PCV13,23F,1.0590398545397397,1.0340477062548128,1.0846360440812914
PCV15 vs PCV13,1,1.0685755837762196,1.0439251547609936,1.0938080886690729
PCV15 vs PCV13,3,0.9183612920010071,0.897962761401582,0.9392232049014604
PCV15 vs PCV13,5,1.0857688348339636,1.0548598345502644,1.1175835159173728
PCV15 vs PCV13,6A,1.1012282137997198,1.078224206610509,1.1247230134822883
PCV15 vs PCV13,7F,1.0927159326512712,1.065103515907052,1.1210441911395737
PCV15 vs PCV13,19A,1.0514414046646994,1.0366026600001916,1.0664925627752797
PCV20 vs PCV13,4,1.0851667556440907,1.0428602266898979,1.1291895667484169
PCV20 vs PCV13,6B,1.128024506082529,1.0754624712338579,1.1831554520567211
PCV20 vs PCV13,9V,1.084857772783833,1.0461513316438078,1.124996309396482
PCV20 vs PCV13,14,1.0532826774849662,1.022389055787605,1.0851098145170004
PCV20 vs PCV13,18C,1.0989751917080652,1.053591896970044,1.146313364276109
PCV20 vs PCV13,19F,1.0570007506906844,1.028837768950913,1.0859346543040604
PCV20 vs PCV13,23F,1.1657575778849945,1.0990479592074898,1.2365163130608428
PCV20 vs PCV13,1,1.1065030336106463,1.058780058881702,1.156377052173364
PCV20 vs PCV13,3,1.1096527742286888,1.0679517278921598,1.1529821500300652
PCV20 vs PCV13,5,1.1023420476875352,1.0546025677312219,1.152242586241878
PCV20 vs PCV13,6A,1.0929384429420512,1.0592009250559264,1.1277505634707827
PCV20 vs PCV13,7F,1.1027110754629368,1.0626593812481384,1.1442723203745837
PCV20 vs PCV13,19A,1.0489504058571113,1.0248389302896623,1.0736291542289564
