serotype,vaccine,median,lci,uci,in_pcv7
4,PCV13,0.5774868975547063,0.5613116262547189,0.5928974600538139,TRUE
4,PCV14,0.5707959154266249,0.5460567701714752,0.5943538002183726,TRUE
4,PCV15,0.5601114056607299,0.540908957458947,0.5784762127039629,TRUE
4,PCV20,0.5415996115980548,0.5157170577461853,0.565880506637505,TRUE
6B,PCV10,0.6244044982249454,0.594361991391361,0.6523293554475748,TRUE
6B,PCV13,0.5999251666650223,0.5868165568358437,0.6125387037668667,TRUE
6B,PCV14,0.597946525149003,0.5717466692164507,0.6231275964318408,TRUE
6B,PCV15,0.5875236563285868,0.5717114294238993,0.6028312667570617,TRUE
6B,PCV20,0.5486373656465816,0.5222624037909452,0.5739215536440786,TRUE
9V,PCV10,0.5930900380674426,0.5669115163789966,0.6181116955800724,TRUE
9V,PCV13,0.5811651206721766,0.5677744428534681,0.5942582868996896,TRUE
9V,PCV14,0.5821003779017733,0.5571013708601547,0.6058270575298523,TRUE
9V,PCV15,0.5637144792663872,0.5475844046963524,0.5794221689194778,TRUE
9V,PCV20,0.5454824536003858,0.5229240197756984,0.566969116871199,TRUE
14,PCV10,0.5938670906018246,0.5587941913542219,0.6267721633264045,TRUE
14,PCV13,0.5811781155784845,0.5663347441782091,0.5952186074643281,TRUE
14,PCV14,0.5737692079488828,0.5479383156717279,0.5974822838440225,TRUE
14,PCV15,0.5560400289064796,0.5371592481410309,0.57384904892103,TRUE
14,PCV20,0.5587554215729522,0.5380083898964948,0.5782989178451379,TRUE
18C,PCV13,0.5794735643955718,0.5652596473478939,0.5935477515801139,TRUE
18C,PCV14,0.5916624899493005,0.5654773578038315,0.6162943925518516,TRUE
18C,PCV15,0.5711588844209363,0.5549374382631084,0.5868987254867257,TRUE
18C,PCV20,0.5377742094594102,0.5122857586771983,0.562227989908074,TRUE
19F,PCV10,0.6537172137520086,0.6233985058585253,0.6816046102348089,TRUE
19F,PCV13,0.6225058012184982,0.60854083919948,0.6359819070128986,TRUE
19F,PCV14,0.6365235351455913,0.6130216356202312,0.6585758290121824,TRUE
19F,PCV15,0.6120433186258398,0.5965275882267381,0.6270150865813743,TRUE
19F,PCV20,0.6009775510634261,0.5825636140754884,0.618826496223888,TRUE
23F,PCV10,0.573155146562571,0.5387962931053472,0.6057948532164111,TRUE
23F,PCV13,0.57320490929225,0.5547421025267857,0.5907805240015517,TRUE
23F,PCV14,0.5668330228801992,0.5344186829078512,0.5960679972485816,TRUE
23F,PCV15,0.5480382906679586,0.5259147292699126,0.5692130823233094,TRUE
23F,PCV20,0.5026043994837333,0.46521745927371927,0.5370742923425252,TRUE
1,PCV10,-0.10110572013293195,-0.2001527867696627,-0.009410097814237928,FALSE
1,PCV13,0,0,0,FALSE
1,PCV14,0.0019473907495023979,-0.044890091735825616,0.047377072547971064,FALSE
1,PCV15,-0.06857890584610937,-0.09363481636109112,-0.044008316442638334,FALSE
1,PCV20,-0.10648380412877634,-0.15662364900572714,-0.05788646900883446,FALSE
3,PCV13,0,0,0,FALSE
3,PCV14,0.06047080983128461,0.02109695722754421,0.09878844598279542,FALSE
3,PCV15,0.08174525671421323,0.06043896212054861,0.10240623934370963,FALSE
3,PCV20,-0.10968563060226466,-0.15354685725735387,-0.06774800812269487,FALSE
5,PCV10,0.07582208971210241,3.161569102072196e-4,0.1448896372821454,FALSE
5,PCV13,0,0,0,FALSE
5,PCV14,0.014931422449823872,-0.0419612875502056,0.07067996684356088,FALSE
5,PCV15,-0.08607287437533795,-0.11779391637673277,-0.05501631190640779,FALSE
5,PCV20,-0.1024639691633682,-0.15195114106517416,-0.05389684843478555,FALSE
6A,PCV10,0.035524331749445026,-0.027324612421557298,0.09392476428421416,FALSE
6A,PCV13,0,0,0,FALSE
6A,PCV15,-0.10120697037495663,-0.1246743101742171,-0.07794717313417754,FALSE
6A,PCV20,-0.09247757686151303,-0.12787531770126037,-0.05882699674713754,FALSE
7F,PCV10,-0.014257048334670341,-0.06373423244239672,0.03235067191314928,FALSE
7F,PCV13,0,0,0,FALSE
7F,PCV14,0.013439225319407666,-0.02992289350063047,0.05492709934410764,FALSE
7F,PCV15,-0.09273282554132922,-0.12065347928243596,-0.06494707698709899,FALSE
7F,PCV20,-0.10286622608816753,-0.14455522531301399,-0.06256980973325912,FALSE
19A,PCV10,0.08555977448061591,0.018901462102624014,0.14850902960656223,FALSE
19A,PCV13,0,0,0,FALSE
19A,PCV14,0.014809514741167318,-0.031426421228806574,0.05894399321895378,FALSE
19A,PCV15,-0.05136185014696126,-0.0665175523668132,-0.0365709208027214,FALSE
19A,PCV20,-0.04904960479678955,-0.07393610369721364,-0.025125631738221136,FALSE
