serotype,vaccine,median,lci,uci,in_pcv7
4,PCV13,0.5772406338263091,0.5610321654308427,0.5926680219088085,TRUE
4,PCV14,0.5705769256702614,0.5458112419659191,0.5939003231626586,TRUE
4,PCV15,0.5600345197064935,0.5404136908833082,0.5786443987506998,TRUE
4,PCV20,0.5413928000108084,0.5155859259374995,0.5661524300203953,TRUE
6B,PCV10,0.6246202378216041,0.5949446184255283,0.6515804937491171,TRUE
6B,PCV13,0.5998651287064412,0.587294998087987,0.6122386654684103,TRUE
6B,PCV14,0.5974984752349255,0.5710550896476736,0.6227989586583949,TRUE
6B,PCV15,0.5871508912662879,0.5716207545067442,0.6020964461802892,TRUE
6B,PCV20,0.5487708642708053,0.5224022654225915,0.5737215026017594,TRUE
9V,PCV10,0.5930117957356024,0.566542517847806,0.6179229849169127,TRUE
9V,PCV13,0.5809877789528024,0.5675512123193772,0.5940194625326065,TRUE
9V,PCV14,0.5827973043037522,0.5576396786649888,0.6057148539605006,TRUE
9V,PCV15,0.5634682076712705,0.5475378595540815,0.5791289730322886,TRUE
9V,PCV20,0.5453996411482281,0.5230571201576187,0.5668497589198193,TRUE
14,PCV10,0.5940099053661915,0.5593165000128092,0.6264708818912789,TRUE
14,PCV13,0.581204780747699,0.5666630571256361,0.5950852754144479,TRUE
14,PCV14,0.5731672417301621,0.5479984996575592,0.597240638214289,TRUE
14,PCV15,0.5559742555014462,0.5374547367752102,0.5737883243560028,TRUE
14,PCV20,0.5588998648975247,0.538718330975495,0.5782972343266072,TRUE
18C,PCV13,0.5791602770699092,0.5649423436151075,0.5927998514757082,TRUE
18C,PCV14,0.591081453890665,0.5656169806425881,0.6153870994867038,TRUE
18C,PCV15,0.5708864546834712,0.5543120632454224,0.5864814503411848,TRUE
18C,PCV20,0.5378745218241336,0.5121521814500768,0.5616198192882398,TRUE
19F,PCV10,0.6541676364050782,0.6237399940068701,0.6823924647123975,TRUE
19F,PCV13,0.6229636641668279,0.6087120252702721,0.6365326130216359,TRUE
19F,PCV14,0.6367940132360657,0.6132719939433593,0.6593637652953663,TRUE
19F,PCV15,0.6125524234323719,0.5969300752911457,0.6276024608995857,TRUE
19F,PCV20,0.6015404878171877,0.5827560484775097,0.619096158172774,TRUE
23F,PCV10,0.5736130418279785,0.5392538032160691,0.6061620484696626,TRUE
23F,PCV13,0.5732577926221313,0.5552303537743306,0.5907396000981869,TRUE
23F,PCV14,0.5672296606738292,0.5349174324809461,0.5970721902740829,TRUE
23F,PCV15,0.5482023051012108,0.5259081303018756,0.5694528356550003,TRUE
23F,PCV20,0.5025379989211312,0.4652427990092321,0.536923874950476,TRUE
1,PCV10,-0.09972849826575714,-0.19787661087763345,-0.00852122521734576,FALSE
1,PCV13,0,0,0,FALSE
1,PCV14,0.001274148786936713,-0.04533970682264853,0.045626911556722584,FALSE
1,PCV15,-0.06843562336935904,-0.09418291212636527,-0.04392204444237868,FALSE
1,PCV20,-0.10539029110127807,-0.15491448000140548,-0.05745288192059422,FALSE
3,PCV13,0,0,0,FALSE
3,PCV14,0.059449846162790976,0.01991100799317155,0.09824404699831027,FALSE
3,PCV15,0.08213442575692714,0.06146278226850748,0.102132741700862,FALSE
3,PCV20,-0.11012726290292074,-0.1531807398837337,-0.06762250045245304,FALSE
5,PCV10,0.07671261094382181,1.900648900913823e-4,0.14648124243683658,FALSE
5,PCV13,0,0,0,FALSE
5,PCV14,0.012889342355110134,-0.046167516184105424,0.0684131363575271,FALSE
5,PCV15,-0.0859984236134701,-0.11770349869249384,-0.05498721781112219,FALSE
5,PCV20,-0.10202855982896719,-0.1514988215922312,-0.05375852287100417,FALSE
6A,PCV10,0.036245540297628775,-0.02319228420134383,0.09325360554909273,FALSE
6A,PCV13,0,0,0,FALSE
6A,PCV15,-0.10112758651763043,-0.12452290546609479,-0.0777888181291817,FALSE
6A,PCV20,-0.09314853870226603,-0.12698510619317266,-0.05989600289390793,FALSE
7F,PCV10,-0.015170669611061394,-0.06400567653373002,0.032267159955920194,FALSE
7F,PCV13,0,0,0,FALSE
7F,PCV14,0.013810818417331006,-0.02940973712488561,0.05597083183011425,FALSE
7F,PCV15,-0.09263818755577669,-0.12115110678699272,-0.06459642997036798,FALSE
7F,PCV20,-0.10273566834009817,-0.14369410211486963,-0.06329411510614924,FALSE
19A,PCV10,0.08517423252878542,0.01899964066859421,0.1473851556895638,FALSE
19A,PCV13,0,0,0,FALSE
19A,PCV14,0.014379848900668568,-0.03103261499189065,0.0575297314058405,FALSE
19A,PCV15,-0.05168964476509175,-0.06679234891128481,-0.036839050293005694,FALSE
19A,PCV20,-0.04867201420241518,-0.07275099444692508,-0.024665355855197944,FALSE
