st,serotype,study_id,logRR,logRR_lci,logRR_uci,sd_logRR,Comparison
1,4,NCT00688870,0.1291952764316222,0.025321979737567314,0.2926114005782624,0.06933685719620541,PCV13 vs PCV7
1,4,NCT00689351,0.06978893772958461,-0.0094068784655845,0.19543954126027907,0.05294194069202845,PCV13 vs PCV7
1,4,NCT00366899,0.11537481442702502,0.03342077905578622,0.23458521175167804,0.051934618738789,PCV13 vs PCV7
1,4,NCT00452790,0.025981756608981055,-0.028882612483775143,0.103839977875069,0.03311515221128969,PCV13 vs PCV7
1,4,NCT00366678,0.03736380035941744,-0.014519435079941644,0.11917242841232534,0.03443317276704942,PCV13 vs PCV7
2,6B,NCT00688870,-0.0070294380271227475,-0.1060470602073194,0.0840299903828192,0.04676935634981618,PCV13 vs PCV7
2,6B,NCT00689351,-0.029682885603333986,-0.13354615073490042,0.05579114880069886,0.0472789980280515,PCV13 vs PCV7
2,6B,NCT00366899,0.010355166950280825,-0.045999712547872454,0.07265165973308887,0.029570792630453424,PCV13 vs PCV7
2,6B,NCT00452790,-0.014441572903013178,-0.08940915775759135,0.05114998966888996,0.03446552994052816,PCV13 vs PCV7
2,6B,NCT00366678,0.017785231651340272,-0.039824684846435685,0.08837339998038961,0.0316281145909979,PCV13 vs PCV7
3,9V,NCT00688870,0.05240201229046315,-0.015565029964802711,0.1547550377627266,0.04400160656672973,PCV13 vs PCV7
3,9V,NCT00689351,0.01249391936175881,-0.05490758508578342,0.0904139274643577,0.03604782765355706,PCV13 vs PCV7
3,9V,NCT00366899,0.08566343958023914,0.015678474701013734,0.16795134192910455,0.03837618428765698,PCV13 vs PCV7
3,9V,NCT00452790,0.02635510469779412,-0.017547337924545346,0.09068389477315668,0.027338229875621945,PCV13 vs PCV7
3,9V,NCT00366678,0.09262346316954373,0.015784913177376247,0.19235220649460977,0.04420190129835555,PCV13 vs PCV7
4,14,NCT00688870,0.11889625374888535,0.02175526958141354,0.27396674766859336,0.06487011596952609,PCV13 vs PCV7
4,14,NCT00689351,0.0939238402884337,0.013869463016870089,0.22249347618668425,0.0539316516145693,PCV13 vs PCV7
4,14,NCT00366899,0.046181991629022257,1.9918145937447565e-4,0.11915853783728944,0.030323311243118233,PCV13 vs PCV7
4,14,NCT00452790,0.009192543387031904,-0.06241529211218637,0.08690444301143563,0.036416306909497896,PCV13 vs PCV7
4,14,NCT00366678,0.039398922277694925,-0.016474187601740086,0.11767795149960626,0.03369610109979127,PCV13 vs PCV7
5,18C,NCT00688870,0.07670781432109175,-0.006746857601230947,0.19956241377477993,0.053681417696067005,PCV13 vs PCV7
5,18C,NCT00689351,0.020430236619138675,-0.05164971382968253,0.11191923395398515,0.041136471316394294,PCV13 vs PCV7
5,18C,NCT00366899,0.11546813155008007,0.01967996599821252,0.2204221067327929,0.050061873756341475,PCV13 vs PCV7
