Comparison,serotype,RR,lci_RR,uci_RR
PCV13 vs PCV7,4,1.0572307256396147,1.018029345761351,1.0979416378223825
PCV13 vs PCV7,6B,1.0002496979851518,0.969303774521354,1.0321835988036236
PCV13 vs PCV7,9V,1.047632113320795,1.0149092546124243,1.0814100274217358
PCV13 vs PCV7,14,1.0472101266904432,1.012102528307649,1.0835355300186205
PCV13 vs PCV7,18C,1.052049562787662,1.017548118786224,1.0877208282611341
PCV13 vs PCV7,19F,0.9426245270991421,0.90825501931729,0.9782946201131625
PCV13 vs PCV7,23F,1.066778392149489,1.023633255290861,1.1117420541731882
PCV13 vs PCV7,1,0.23168919251099396,0.14124575671938325,0.38004597924342387
PCV13 vs PCV7,3,0.49336024935491335,0.40864461178319955,0.5956381868866459
PCV13 vs PCV7,5,0.5971525320523304,0.4988377850935304,0.7148438975400588
PCV13 vs PCV7,6A,0.6793696835066125,0.6174976456331921,0.7474411767102384
PCV13 vs PCV7,7F,0.26737335603749296,0.18148054948751036,0.39391831091888935
PCV13 vs PCV7,19A,0.7402482222922269,0.6893393541971705,0.7949167957268083
PCV13 vs PCV10,6B,0.9382963608554771,0.876011612208219,1.0050095780983432
PCV13 vs PCV10,9V,0.970865427864479,0.919835346845346,1.0247265255190896
PCV13 vs PCV10,14,0.9698323938232096,0.900122693950432,1.0449407380019382
PCV13 vs PCV10,19F,0.9169838323401415,0.8500791497112676,0.9891541853000553
PCV13 vs PCV10,23F,0.9988875793962886,0.9351183283949892,1.0670054964966114
PCV13 vs PCV10,1,1.0991910481655913,1.0077979053688073,1.1988722678732084
PCV13 vs PCV10,5,0.923922215699403,0.8534304967224493,1.0002364151986831
PCV13 vs PCV10,6A,0.9637921637149091,0.907086395047224,1.0240428474179757
PCV13 vs PCV10,7F,1.0151075616172252,0.967779399545587,1.0647502541760085
PCV13 vs PCV10,19A,0.9147305320673113,0.8528566205907352,0.9810933351453378
PCV14 vs PCV13,4,1.0156822117715936,0.9743103204385188,1.0588108672039191
PCV14 vs PCV13,6B,1.0056791570237789,0.9512529125628175,1.063219416745039
PCV14 vs PCV13,9V,0.9958106336002155,0.9490917866487111,1.0448292061327251
PCV14 vs PCV13,14,1.0189221607938037,0.9734460611289761,1.0665227496556258
PCV14 vs PCV13,18C,0.9713262886639176,0.9227538328865064,1.022455529768211
PCV14 vs PCV13,19F,0.9631285732386591,0.9145058394785042,1.0143364957819268
PCV14 vs PCV13,23F,1.0143310784542205,0.9572988330878965,1.0747610893866348
PCV14 vs PCV13,1,0.9988717168480444,0.9541984542117512,1.0456364735396488
PCV14 vs PCV13,3,0.9403861748155165,0.9021518124179086,0.9802409590177799
PCV14 vs PCV13,5,0.9875104248928087,0.9321470787311257,1.0461619861528972
PCV14 vs PCV13,7F,0.9861375242233221,0.9440242282124222,1.0301295111066586
PCV14 vs PCV13,19A,0.9859498454369054,0.9425072364194355,1.0313948372534871
PCV15 vs PCV13,4,1.0407824607880298,1.0187310954072686,1.0633111481209216
PCV15 vs PCV13,6B,1.0315632832986101,1.0120007457171272,1.0515039756178701
PCV15 vs PCV13,9V,1.0417908234095783,1.0234840292028429,1.0604250665110355
PCV15 vs PCV13,14,1.0602688012340071,1.0362401749474086,1.0848546100109007
PCV15 vs PCV13,18C,1.019381631632169,1.0022408705463106,1.0368155415001585
PCV15 vs PCV13,19F,1.0274837983181664,1.0128590052269983,1.0423197605571188
PCV15 vs PCV13,23F,1.058988898409868,1.0337706323559361,1.0848223501953946
PCV15 vs PCV13,1,1.0686448992231026,1.0439885986817556,1.093883517576304
PCV15 vs PCV13,3,0.9178085713530039,0.897380392690558,0.9387017818869547
PCV15 vs PCV13,5,1.085875725054873,1.0550272306025894,1.1176262148134093
PCV15 vs PCV13,6A,1.1010401450552707,1.0780030419468236,1.1245695548632155
PCV15 vs PCV13,7F,1.092638634572128,1.0649974374520625,1.1209972379049806
PCV15 vs PCV13,19A,1.0516655402874613,1.0368052507896808,1.0667388188724303
PCV20 vs PCV13,4,1.084553414165465,1.0416421166260763,1.1292324776458835
PCV20 vs PCV13,6B,1.1276227773693235,1.075715226656201,1.182035074463522
PCV20 vs PCV13,9V,1.0848776734589625,1.0461068665114137,1.125085403840899
PCV20 vs PCV13,14,1.0532351607790114,1.0225930990172474,1.084795413705877
PCV20 vs PCV13,18C,1.0980397884933653,1.0532897039634819,1.144691125886441
PCV20 vs PCV13,19F,1.057035243720451,1.0290914911663354,1.0857377755604793
PCV20 vs PCV13,23F,1.1657372529194328,1.098884304766864,1.236657341404521
PCV20 vs PCV13,1,1.1055277645264567,1.0577159278372152,1.1555008353121468
PCV20 vs PCV13,3,1.110041459920325,1.0681613077021914,1.1535636367438877
PCV20 vs PCV13,5,1.1020434970158466,1.0539645232400703,1.1523157018429164
PCV20 vs PCV13,6A,1.0930743288118336,1.060013697988567,1.127166083395582
PCV20 vs PCV13,7F,1.102836503537283,1.0629513953934608,1.1442182199536362
PCV20 vs PCV13,19A,1.048745043268557,1.0246518705621974,1.0734047312839061
