st,serotype,study_id,logRR,logRR_lci,logRR_uci,sd_logRR,Comparison
1,4,NCT00688870,0.18532598732189953,0,0.49619167235292583,0.13026867190520502,PCV13 vs PCV7
1,4,NCT00689351,0.10157842794768523,-0.012511702411459111,0.3469888601123587,0.096317314508344,PCV13 vs PCV7
1,4,NCT00366899,0.17036829865216907,0,0.4305850387291382,0.11062291254915546,PCV13 vs PCV7
1,4,NCT00452790,0.03378947204457683,-0.039803937146203804,0.16773871676370558,0.054639878277823496,PCV13 vs PCV7
1,4,NCT00366678,0.05018275069352507,-0.018101153762786155,0.18545130503507645,0.05731456624965628,PCV13 vs PCV7
2,6B,NCT00688870,-0.007731707540469479,-0.16160964773774877,0.1303378257347248,0.07119159062575438,PCV13 vs PCV7
2,6B,NCT00689351,-0.042161681178874755,-0.20894372865059688,0.08652427741428248,0.0731329853069406,PCV13 vs PCV7
2,6B,NCT00366899,0.014141270125815453,-0.06678061580565903,0.1158813078049146,0.04518762137469385,PCV13 vs PCV7
2,6B,NCT00452790,-0.01899141826204076,-0.14500241096552638,0.07713853323311282,0.05426552422534654,PCV13 vs PCV7
2,6B,NCT00366678,0.02362032413396653,-0.05745792439112072,0.13225160999851804,0.047738037917268585,PCV13 vs PCV7
3,9V,NCT00688870,0.05213681962906236,-0.015493888106576944,0.21326420986728623,0.0649943827620132,PCV13 vs PCV7
3,9V,NCT00689351,0.007523350324305067,-0.07539474534703515,0.12597676919402026,0.04732144690450162,PCV13 vs PCV7
3,9V,NCT00366899,0.09951749289558576,0,0.2387056257971117,0.07104276665239996,PCV13 vs PCV7
3,9V,NCT00452790,0.02112118098558513,-0.02111389522241942,0.12201414961867266,0.0389349285100069,PCV13 vs PCV7
3,9V,NCT00366678,0.09633202361480064,0,0.2682588268920814,0.08077728182171434,PCV13 vs PCV7
4,14,NCT00688870,0.1677146116230097,0,0.4098265132060321,0.10099897434215711,PCV13 vs PCV7
4,14,NCT00689351,0.133082961119094,0,0.34683735075472005,0.08573437445345765,PCV13 vs PCV7
4,14,NCT00366899,0.06367704453767731,0,0.17979424475633637,0.047739048069766046,PCV13 vs PCV7
4,14,NCT00452790,0.01208147323782649,-0.08880520419266467,0.12388374571942945,0.05231271133734304,PCV13 vs PCV7
4,14,NCT00366678,0.05474837270381361,-0.019861557612113657,0.17955122358625694,0.0512106255602227,PCV13 vs PCV7
5,18C,NCT00688870,0.09113028574594306,-0.002715450631470202,0.2836869986591742,0.08233870657177864,PCV13 vs PCV7
5,18C,NCT00689351,0.022063521921743323,-0.0738006868994181,0.1601629845886821,0.05897995248259261,PCV13 vs PCV7
