serotype,total_inv_var,pooled_logRR,se_logRR,lci_logRR,uci_logRR,Comparison
4,887.8056582687277,0.0702704816278913,0.03356147548150646,0.004489989684138648,0.13605097357164397,PCV13 vs PCV7
6B,1652.4045936976522,8.668601180082151e-4,0.024600379292530467,-0.047349883295351496,0.04908360353136793,PCV13 vs PCV7
9V,1694.345224219248,0.037841258456236225,0.02429400119795825,-0.009774983891761943,0.0854575008042344,PCV13 vs PCV7
14,1419.5903981563822,0.06183362141073967,0.026541072810596852,0.009813118701969839,0.1138541241195095,PCV13 vs PCV7
18C,1510.4343958035493,0.04911569556237188,0.02573054982509424,-0.0013161820948128303,0.0995475732195566,PCV13 vs PCV7
19F,1237.7352815706408,-0.06585735061669461,0.028424060225318258,-0.12156850865831839,-0.010146192575070823,PCV13 vs PCV7
23F,715.5961793357405,0.08091421784219967,0.03738229784529948,0.007644914065412692,0.15418352161898663,PCV13 vs PCV7
1,12.734600686603182,-0.7120107442679143,0.2802252944881655,-1.2612523214647187,-0.1627691670711099,PCV13 vs PCV7
3,32.26885934208349,-0.18898390584892003,0.17603871631715018,-0.5340197898305343,0.1560519781326943,PCV13 vs PCV7
5,27.77623405424966,-0.5525961200587944,0.18974193204688233,-0.9244903068706838,-0.1807019332469051,PCV13 vs PCV7
6A,122.17162972051935,-0.5150230346469832,0.09047213026722209,-0.6923484099707384,-0.33769765932322793,PCV13 vs PCV7
7F,7.597959025885163,-0.881546447554261,0.36278684138857187,-1.592608656675862,-0.17048423843266014,PCV13 vs PCV7
19A,187.6114713765034,-0.40245026711288556,0.07300797542657499,-0.5455458989489725,-0.2593546352767986,PCV13 vs PCV7
6B,287.2041949580276,-0.09095265828455323,0.05900714611996232,-0.20660666467967936,0.02470134811057291,PCV13 vs PCV10
9V,649.7640849477282,-0.02846800252191084,0.03923034692707364,-0.10535948249897517,0.04842347745515349,PCV13 vs PCV10
14,313.650595216891,-0.041029499162683614,0.05646468919947114,-0.15170028999364704,0.06964129166827981,PCV13 vs PCV10
19F,231.08872407078707,-0.11958215149169771,0.06578253760376855,-0.24851592519508406,0.009351622211688643,PCV13 vs PCV10
23F,374.5361200890777,0,0.051671747153027844,-0.10127662441993457,0.10127662441993457,PCV13 vs PCV10
1,92.60906073803514,0.14711408775518242,0.10391380801937965,-0.05655697596280168,0.3507851514731665,PCV13 vs PCV10
5,147.9529918557952,-0.08565284622579616,0.08221255097151665,-0.2467894461299688,0.07548375367837648,PCV13 vs PCV10
6A,393.41179706511474,-0.05340463752640056,0.05041691997368014,-0.15222180067481364,0.04541252562201251,PCV13 vs PCV10
7F,561.1085494597683,0.020458694615456796,0.04221594904856939,-0.062284565519739196,0.10320195475065279,PCV13 vs PCV10
19A,153.15814882380283,-0.13433413912515224,0.08080345778577193,-0.2927089163852652,0.02404063813496074,PCV13 vs PCV10
4,287.75720131506705,0.028957916299118036,0.0589504194430704,-0.08658490580929994,0.14450073840753602,PCV14 vs PCV13
6B,184.5837600214755,0.06568425449917781,0.07360431169441484,-0.07858019642187528,0.2099487054202309,PCV14 vs PCV13
9V,416.06782023179096,0.004667430513652704,0.049025037686088326,-0.09142164335108041,0.10075650437838582,PCV14 vs PCV13
14,395.8315691176898,0.021644972359716075,0.050262581004431456,-0.07686968640896957,0.12015963112840172,PCV14 vs PCV13
18C,329.8760587262022,-0.014182431023539,0.05505852865788885,-0.12209714719300115,0.09373228514592315,PCV14 vs PCV13
19F,328.9728722739847,-0.03852172808246168,0.05513405773081891,-0.14658448123486675,0.06954102506994339,PCV14 vs PCV13
23F,260.92429453977894,0.020081739962041656,0.06190742512035152,-0.10125681327384732,0.14142029319793065,PCV14 vs PCV13
1,216.11364356087452,0.07057580270870867,0.06802348957951426,-0.06275023686713929,0.20390184228455663,PCV14 vs PCV13
3,319.1418638940287,-0.020947784937640268,0.05597680563329753,-0.13066232397890343,0.08876675410362289,PCV14 vs PCV13
5,224.08359262442826,0.029721509709903948,0.06680284685220733,-0.10121207012042241,0.1606550895402303,PCV14 vs PCV13
7F,327.9188881948812,0.007710163053742391,0.05522259151460813,-0.10052611631488954,0.11594644242237433,PCV14 vs PCV13
