Comparison,serotype,RR,lci_RR,uci_RR
PCV13 vs PCV7,4,1.0727983142490625,1.004500084791141,1.145740294581387
PCV13 vs PCV7,6B,1.0008672359498303,0.9537536367397269,1.0503081565404508
PCV13 vs PCV7,9V,1.0385663561657732,0.9902726359758249,1.0892152695874184
PCV13 vs PCV7,14,1.06378533889949,1.0098614252345781,1.1205886461052192
PCV13 vs PCV7,18C,1.0503418636032353,0.998684683692954,1.1046710222470002
PCV13 vs PCV7,19F,0.9362644123071477,0.8855303847721688,0.989905106393814
PCV13 vs PCV7,23F,1.0842778808809972,1.0076742110309542,1.1667049827195302
PCV13 vs PCV7,1,0.4906566199247411,0.28329902280959773,0.8497873246734539
PCV13 vs PCV7,3,0.8277998293230423,0.5862436505899244,1.1688869580723014
PCV13 vs PCV7,5,0.5754539219979287,0.39673357993047637,0.8346841132047063
PCV13 vs PCV7,6A,0.5974868315614824,0.5003995448456957,0.713410948444131
PCV13 vs PCV7,7F,0.41414196738336817,0.20339433308885943,0.8432563805660972
PCV13 vs PCV7,19A,0.668679593465968,0.5795253347020988,0.7715493559011665
PCV13 vs PCV10,6B,0.9130609357470942,0.8133395022324946,1.025008953947315
PCV13 vs PCV10,9V,0.9719333930660392,0.9000009298434464,1.049615049532432
PCV13 vs PCV10,14,0.959800816209764,0.8592457667078345,1.0721235326262208
PCV13 vs PCV10,19F,0.8872911125363984,0.7799574397618435,1.0093954852542644
PCV13 vs PCV10,23F,1,0.9036830175167548,1.1065827072283776
PCV13 vs PCV10,1,1.1584861245720675,0.9450126399562179,1.4201821690852585
PCV13 vs PCV10,5,0.9179128328193809,0.7813051830437824,1.078405707449768
PCV13 vs PCV10,6A,0.9479963399693428,0.8587977776884319,1.0464594622196532
PCV13 vs PCV10,7F,1.0206694082300833,0.9396154665800055,1.1087152967889606
PCV13 vs PCV10,19A,0.8742978786623765,0.7462393271267798,1.0243319439845966
PCV14 vs PCV13,4,1.0293812733899785,0.9170576819544183,1.1554625481656908
PCV14 vs PCV13,6B,1.0678894826291356,0.9244279211472026,1.2336147805820457
PCV14 vs PCV13,9V,1.0046783399338357,0.9126328242002074,1.1060073010378346
PCV14 vs PCV13,14,1.0218809240883868,0.9260105175001193,1.1276768495403193
PCV14 vs PCV13,18C,0.9859176658867498,0.8850623829999302,1.0982656845191592
PCV14 vs PCV13,19F,0.9622107975171275,0.8636527668004611,1.0720160398356662
PCV14 vs PCV13,23F,1.0202847346538548,0.903700920690372,1.1519086856439644
PCV14 vs PCV13,1,1.073125912198603,0.939178016441548,1.2261777887384744
PCV14 vs PCV13,3,0.9792700958836592,0.8775140398167851,1.092825729480309
PCV14 vs PCV13,5,1.0301676023271158,0.9037413560239121,1.1742798775453172
PCV14 vs PCV13,7F,1.0077399628988881,0.9043614935148139,1.1229357288052395
PCV14 vs PCV13,19A,1.0178879522296713,0.9108327005758808,1.137526005202969
PCV15 vs PCV13,4,1.0253774837855312,0.9917563688463144,1.0601383739813173
PCV15 vs PCV13,6B,1.0342029912123374,1.003902256357044,1.0654182917307287
PCV15 vs PCV13,9V,1.018416621140213,0.9935953588369945,1.0438579498083214
PCV15 vs PCV13,14,1.079336671386126,1.0407512392858151,1.119352642806659
PCV15 vs PCV13,18C,1.0092777494641854,0.9868662047036831,1.0321982561651797
PCV15 vs PCV13,19F,1.0237596690943147,1.0016569233440547,1.0463501380942377
PCV15 vs PCV13,23F,1.0427104772316924,1.0057707472215447,1.0810069216392235
PCV15 vs PCV13,1,1.0484958847130144,1.0066139957515101,1.0921203409648474
PCV15 vs PCV13,3,0.9565206314158216,0.9078280823506749,1.0078248691702214
PCV15 vs PCV13,5,1.078393435985816,1.0207945104212082,1.1392424145163516
PCV15 vs PCV13,6A,1.1341079699740133,1.0873211499043292,1.1829080007059067
PCV15 vs PCV13,7F,1.1228657948588545,1.0598527249572844,1.1896252786582424
PCV15 vs PCV13,19A,1.0432448149524705,1.0173766319567663,1.0697707316433278
PCV20 vs PCV13,4,1.1240648886486255,1.0379481142385685,1.217326624095808
PCV20 vs PCV13,6B,1.1760371582483782,1.0777753282156235,1.2832576153610193
PCV20 vs PCV13,9V,1.1076766316369535,1.0349310822454758,1.1855354828192963
PCV20 vs PCV13,14,1.0715567104041668,1.022074780790299,1.123434219484753
PCV20 vs PCV13,18C,1.1255348714017368,1.0430574373684445,1.2145340240681646
PCV20 vs PCV13,19F,1.0720144095796273,1.0250108714652169,1.121173371267365
PCV20 vs PCV13,23F,1.2353836253257358,1.0882440945136145,1.4024176280093423
PCV20 vs PCV13,1,1.1262850302243412,1.0276952716230907,1.2343327874847676
PCV20 vs PCV13,3,1.083813214184605,0.9850250650526792,1.192508825324505
PCV20 vs PCV13,5,1.1321377801314239,1.0294453651438862,1.245074286212129
PCV20 vs PCV13,6A,1.1426159909178422,1.0765227102558228,1.2127670789136522
PCV20 vs PCV13,7F,1.1523564502293633,1.0518840896326649,1.2624255861203797
PCV20 vs PCV13,19A,1.0629848180524786,1.0167014705447461,1.111375124503994
