serotype,vaccine,median,lci,uci,in_pcv7
4,PCV13,0.5825466329501972,0.5428878877149766,0.6183520447560432,TRUE
4,PCV14,0.5620297872130363,0.4519054232550638,0.6499327049855358,TRUE
4,PCV15,0.5821736395613022,0.5419611834161815,0.6187077102035241,TRUE
4,PCV20,0.5783974400912345,0.516980591575772,0.6329691558711267,TRUE
6B,PCV10,0.5967637184553694,0.5481800961821164,0.639217825464424,TRUE
6B,PCV13,0.5964751313120634,0.5698804353121213,0.6218004194808922,TRUE
6B,PCV14,0.6369560395186845,0.5446220561742248,0.7117661499140173,TRUE
6B,PCV15,0.5831371541171513,0.5487353829937169,0.6146430225282878,TRUE
6B,PCV20,0.5964598362449448,0.5387010789023048,0.6472549647079329,TRUE
9V,PCV10,0.5996851320499138,0.5473917823959201,0.6459569039308269,TRUE
9V,PCV13,0.600033408157876,0.5890077537054619,0.610773688084566,TRUE
9V,PCV14,0.600028632245379,0.5654276779160115,0.6312965693799926,TRUE
9V,PCV15,0.6000546388068893,0.5882484298614971,0.6116247892309341,TRUE
9V,PCV20,0.6001169424144501,0.5781919368114937,0.6206738996870268,TRUE
14,PCV10,0.5776277907476826,0.5118880979126698,0.6349374842289952,TRUE
14,PCV13,0.5921542114455839,0.5687529811221609,0.6140156990254261,TRUE
14,PCV14,0.621437967265345,0.5359834987840604,0.6916312123335464,TRUE
14,PCV15,0.5661452651691177,0.530080779280111,0.5998485837542332,TRUE
14,PCV20,0.5820288573109433,0.5470550115236528,0.6145826103683313,TRUE
18C,PCV13,0.5950397775822267,0.5716557142336052,0.6169665646329241,TRUE
18C,PCV14,0.5492077916655305,0.36310558811277927,0.6812208550082461,TRUE
18C,PCV15,0.5938919415492439,0.5669362046959625,0.61858252295424,TRUE
18C,PCV20,0.5799843039393726,0.5256724226925574,0.6271042911225887,TRUE
19F,PCV10,0.6359312744291075,0.5054968956793728,0.7313865789689648,TRUE
19F,PCV13,0.5998823912022444,0.5876753975908788,0.6115863680295209,TRUE
19F,PCV14,0.5987080400909255,0.5490063755106336,0.6432457904856786,TRUE
19F,PCV15,0.5995053546433389,0.5850936990936035,0.6135256919631302,TRUE
19F,PCV20,0.5999021908421888,0.5815816452517426,0.6172952013337316,TRUE
23F,PCV10,0.5678681076892821,0.4498407608589022,0.6616754465886349,TRUE
23F,PCV13,0.5978307385040902,0.5750517129822108,0.6196177546351272,TRUE
23F,PCV14,0.6007929693842204,0.5180679807799108,0.6692166665799507,TRUE
23F,PCV15,0.5971366496612442,0.5711103868824094,0.6214165551220319,TRUE
23F,PCV20,0.5935348112423833,0.5475167757977554,0.634316893471291,TRUE
1,PCV10,0.2099005222750031,-0.5433766396600898,0.5969195901431026,FALSE
1,PCV13,0.21780364409642244,-0.527418564991505,0.5982226276788932,FALSE
1,PCV14,0.13369261077126593,-0.808301873966795,0.5933600253446072,FALSE
1,PCV15,0.2076040269164845,-0.5565942914065184,0.5958599824798367,FALSE
1,PCV20,0.2074852777542478,-0.5617763033248647,0.6005002558834934,FALSE
3,PCV13,0.0013891195560749026,-0.2512251632394467,0.20281502216504393,FALSE
3,PCV14,5.630948343430253e-4,-0.2524949709478736,0.20450293082734397,FALSE
3,PCV15,0.0012334039198705349,-0.2586143478265552,0.2070023583020086,FALSE
3,PCV20,0.0010687840612320643,-0.2564351979316963,0.20504722491451288,FALSE
5,PCV10,0.03462683286159196,-0.4031027582574942,0.333515902155344,FALSE
5,PCV13,0.033171612993006416,-0.31777785086259375,0.2857463410048093,FALSE
5,PCV14,0.03329767591692251,-0.3280009451327717,0.294982247592931,FALSE
5,PCV15,0.03339838637685505,-0.3190435225850665,0.28809133030100226,FALSE
5,PCV20,0.033195394671864,-0.32942561569719186,0.29632756058350396,FALSE
6A,PCV10,0.6311669062419328,0.3634416270541899,0.7859633616516586,FALSE
6A,PCV13,0.46413493233698516,0.24575705743779316,0.6156213458965359,FALSE
6A,PCV15,0.33151958068340753,0.04638647862347158,0.5288565400831228,FALSE
6A,PCV20,0.3970347602722937,0.1385998266010796,0.5762571242159618,FALSE
7F,PCV10,0.2600550486581122,-0.3617318428070135,0.5983717447204341,FALSE
7F,PCV13,0.1972336790018417,-0.4059986133608581,0.5418482944919928,FALSE
7F,PCV14,0.16908422742752727,-0.4809327478079594,0.5387716272223143,FALSE
7F,PCV15,0.16437166341604648,-0.47029653621017,0.5242218078534486,FALSE
7F,PCV20,0.1767452567295646,-0.4503915790032098,0.5336984311981571,FALSE
19A,PCV10,0.11685443673456608,-0.3659209157072723,0.4291995516819963,FALSE
19A,PCV13,0.030687860805250544,-0.12991288595872982,0.16908068745500562,FALSE
19A,PCV14,0.029397344835419226,-0.1957608922575331,0.21302996003789645,FALSE
19A,PCV15,0.029965587958501905,-0.13044501032292974,0.16911191330867104,FALSE
19A,PCV20,0.03051182610593023,-0.13058531056762365,0.1704255435003677,FALSE
