st,serotype,study_id,logRR,logRR_lci,logRR_uci,sd_logRR,Comparison
1,4,NCT00205803,0.035152401993016724,-0.01192363056144576,0.3489648778021481,0.10584491074493577,PCV13 vs PCV7
1,4,NCT00366340,0.06498372007235886,-0.006903918676545273,0.3770906643079636,0.11607273976574532,PCV13 vs PCV7
1,4,NCT00688870,0.128401574759617,-0.02358855041107233,0.6085508467298714,0.18466345137345713,PCV13 vs PCV7
1,4,NCT00689351,0.07615402707447227,-0.01793883323648386,0.43650460371389166,0.13276630794106645,PCV13 vs PCV7
1,4,NCT00452790,0.020514989105933967,-0.01280472122297651,0.223383082178275,0.06875996272276659,PCV13 vs PCV7
2,6B,NCT00205803,0,-0.20336161291363647,0.2723888695120761,0.10907661889895673,PCV13 vs PCV7
2,6B,NCT00366340,0.06579310586783449,0,0.2861832650153086,0.09051964362732039,PCV13 vs PCV7
2,6B,NCT00688870,0.037912868177703896,-0.08791365101073893,0.2653893759614549,0.08611878066693443,PCV13 vs PCV7
2,6B,NCT00689351,-0.0653771580919531,-0.3374953259133467,0.07429725598752449,0.10376309789301542,PCV13 vs PCV7
2,6B,NCT00452790,0,-0.06540773211921405,0.1315227667694791,0.046580840557485625,PCV13 vs PCV7
3,9V,NCT00205803,0,-0.02429794195560022,0.1007821524317519,0.033797913373722656,PCV13 vs PCV7
3,9V,NCT00366340,0,-0.026943807590546466,0.10464136141836185,0.033141549636137385,PCV13 vs PCV7
3,9V,NCT00688870,0,-0.07312027065183721,0.263823965733845,0.08697572195134619,PCV13 vs PCV7
3,9V,NCT00689351,0,-0.03282729784627623,0.15131537588182922,0.049045364028699745,PCV13 vs PCV7
3,9V,NCT00452790,0,-0.019485025712615744,0.060376475541921895,0.01957166773786436,PCV13 vs PCV7
4,14,NCT00205803,0.043799796738995145,-0.029439827014581407,0.27582892704979783,0.08262867164713622,PCV13 vs PCV7
4,14,NCT00366340,0.019646840980330538,-0.019138510124938477,0.1524149228213371,0.0463425923382996,PCV13 vs PCV7
4,14,NCT00688870,0.0557698063846237,-0.019661032681083587,0.27884392697407234,0.08577392476088529,PCV13 vs PCV7
4,14,NCT00689351,0.02633212017376918,-0.08890472298482022,0.2551811598553763,0.08587011711198325,PCV13 vs PCV7
4,14,NCT00452790,-0.008131963579845358,-0.17701219959228268,0.024316559713649082,0.05567025202101595,PCV13 vs PCV7
5,18C,NCT00205803,0.09272477450797112,0,0.5247752624620686,0.15813429771366147,PCV13 vs PCV7
5,18C,NCT00366340,0.020417463201631847,-0.0029227344822209123,0.19560916721261082,0.06038975089046169,PCV13 vs PCV7
5,18C,NCT00688870,0.05403361012788155,-0.006876334623915764,0.35650781472897036,0.10679444865682913,PCV13 vs PCV7
5,18C,NCT00689351,4.039457029869631e-4,-0.08966050433225636,0.17391504857669124,0.06959932679933217,PCV13 vs PCV7
5,18C,NCT00452790,0,-0.05304431216793247,0.1143428185696937,0.039884960850080343,PCV13 vs PCV7
6,19F,NCT00205803,0,-0.014267480866136472,0.10173660300560071,0.03008697717119567,PCV13 vs PCV7
6,19F,NCT00366340,0,-0.028604987165801746,0.21443157979521246,0.06866459342520805,PCV13 vs PCV7
6,19F,NCT00688870,0.007672926494748378,-0.017732895865982,0.25090592848101917,0.07418317529652073,PCV13 vs PCV7
6,19F,NCT00689351,0,-0.05396895695149249,0.13031688444087142,0.04578838512976599,PCV13 vs PCV7
6,19F,NCT00452790,0,-0.02034671938926963,0.07223041658455069,0.02185598325811012,PCV13 vs PCV7
7,23F,NCT00205803,0.02687210839449028,0,0.322653561151774,0.09570492762597596,PCV13 vs PCV7
7,23F,NCT00366340,0,-0.005369597759173158,0.1511333810308991,0.045859609861013687,PCV13 vs PCV7
7,23F,NCT00688870,0.18201578711053346,0,0.8102961322435828,0.2282038414191506,PCV13 vs PCV7
7,23F,NCT00689351,-0.007170676944706411,-0.2677795169557619,0.15022607258775528,0.10423396218726942,PCV13 vs PCV7
7,23F,NCT00452790,0,-0.055476839900937346,0.11523323843405404,0.04126340475450534,PCV13 vs PCV7
8,1,NCT00366340,-0.07984347809838122,-1.9213666809819938,0.0018998716889919512,0.5748659817536582,PCV13 vs PCV7
8,1,NCT00688870,-0.46029717456349983,-2.6314559886153845,0.0669709332999321,0.8014298244181812,PCV13 vs PCV7
8,1,NCT00689351,-0.7568317683461974,-3.214053345989113,0.13093183678880307,0.9762805106057572,PCV13 vs PCV7
8,1,NCT00452790,-0.11149734150565616,-1.942494572996503,0.003191096745904721,0.5892368254458146,PCV13 vs PCV7
9,3,NCT00366340,0,-0.8057420401474007,0.2871815748811302,0.26635016173143516,PCV13 vs PCV7
9,3,NCT00688870,0,-0.7058346356180513,0.2483753557400133,0.23158383491302034,PCV13 vs PCV7
9,3,NCT00689351,0,-0.8426895479805748,0.29177187247442865,0.2746384977700322,PCV13 vs PCV7
9,3,NCT00452790,0,-0.5690853949270341,0.16954593280322725,0.1823053360790907,PCV13 vs PCV7
10,5,NCT00366340,0,-0.9745713581434413,0.060885176917603805,0.3026117926348484,PCV13 vs PCV7
10,5,NCT00688870,-0.02643431300577692,-1.0872076511565039,0.12761963002326707,0.34334168726291525,PCV13 vs PCV7
10,5,NCT00689351,-0.33798174277664605,-1.7219449362929096,0.24507667987968237,0.5425226015189702,PCV13 vs PCV7
10,5,NCT00452790,0,-0.7682151647292284,0.02837481830713376,0.2407604293167191,PCV13 vs PCV7
11,6A,NCT00366340,-0.4998209738792858,-1.041345063042251,0,0.298150099931579,PCV13 vs PCV7
11,6A,NCT00688870,-0.8246541839338386,-1.8381661560899965,-0.1414463806589247,0.41266947061795795,PCV13 vs PCV7
11,6A,NCT00689351,-1.0072006020003714,-2.1867793955389954,-0.29595865762668755,0.48218291842444105,PCV13 vs PCV7
11,6A,NCT00452790,-0.5090731362844105,-1.0217283705287499,0,0.2876204241096592,PCV13 vs PCV7
12,7F,NCT00366340,-0.13263105111886953,-1.7976004002679882,0,0.5420805579297046,PCV13 vs PCV7
12,7F,NCT00688870,-0.29243690175001724,-2.0001023065057444,0.01120323087844997,0.6044217864352633,PCV13 vs PCV7
12,7F,NCT00689351,-0.6113100249396002,-2.5294876458196107,0.05696287306033732,0.7374541081172965,PCV13 vs PCV7
12,7F,NCT00452790,-0.07298300439089411,-1.6267857563043555,0,0.49337949300495443,PCV13 vs PCV7
13,19A,NCT00366340,-0.014581269719746048,-0.5968194125423542,0.0391008599549941,0.1901860902347472,PCV13 vs PCV7
