serotype,total_inv_var,pooled_logRR,se_logRR,lci_logRR,uci_logRR,Comparison
4,461.04926922426205,0.04421617842400466,0.04657215465785277,-0.04706524470538677,0.13549760155339607,PCV13 vs PCV7
6B,894.6843240095341,0.007901667267165787,0.03343220999071359,-0.05762546431463285,0.07342879884896443,PCV13 vs PCV7
9V,4944.412634643057,0,0.014221409640586883,-0.02787396289555029,0.02787396289555029,PCV13 vs PCV7
14,1206.3005949064218,0.019970855557632915,0.028792026210425762,-0.03646151581480158,0.0764032269300674,PCV13 vs PCV7
18C,1236.92260641881,0.01142161983427678,0.028433396191209968,-0.044307836700494756,0.06715107636904832,PCV13 vs PCV7
19F,4068.909727107792,3.4266689211222826e-4,0.015676928321460597,-0.03038411261795054,0.031069446402175,PCV13 vs PCV7
23F,1283.2214985294524,0.004495677377380089,0.027915742683236974,-0.05021917828176438,0.05921053303652456,PCV13 vs PCV7
1,8.512280614740547,-0.2435824902984687,0.3427496610317686,-0.9153718259207352,0.4282068453237978,PCV13 vs PCV7
3,76.08837086157116,0,0.11464123534680006,-0.2246968212797281,0.2246968212797281,PCV13 vs PCV7
5,40.05224682338727,-0.03426890883963051,0.15801072220512347,-0.3439699243616725,0.27543210668241147,PCV13 vs PCV7
6A,33.510782441373806,-0.6252008445384544,0.17274588701857468,-0.9637827830948608,-0.286618905982048,PCV13 vs PCV7
7F,12.087215649353546,-0.22136789518425368,0.2876317772591438,-0.7851261786121755,0.3423903882436681,PCV13 vs PCV7
19A,167.4144231649256,-0.03150290506068068,0.07728648653430555,-0.18298441866791954,0.11997860854655817,PCV13 vs PCV7
6B,410.0515106547783,0,0.049383377771220864,-0.09679142043159289,0.09679142043159289,PCV13 vs PCV10
9V,272.89240093105747,0,0.0605346838851032,-0.11864798041480226,0.11864798041480226,PCV13 vs PCV10
14,215.82792699011074,0.0370104521093193,0.06806849999698109,-0.09640380788476363,0.17042471210340224,PCV13 vs PCV10
19F,42.208480690379716,-0.09234425305346394,0.15392180234072592,-0.39403098564128675,0.20934247953435886,PCV13 vs PCV10
23F,79.34659937715396,0.0723803213793146,0.11226279243894861,-0.14765475180102466,0.2924153945596539,PCV13 vs PCV10
1,436.00227060060155,0.008976262217648134,0.04789118955736234,-0.08489046931478204,0.10284299375007831,PCV13 vs PCV10
5,89.75983294741776,0,0.10555018095009863,-0.20687835466219331,0.20687835466219331,PCV13 vs PCV10
6A,20.41971778496947,-0.3708211580064438,0.22129679911005645,-0.8045628842621544,0.06292056824926684,PCV13 vs PCV10
7F,65.63337508519982,-0.08099462307585403,0.12343480382477437,-0.3229268385724118,0.16093759242070374,PCV13 vs PCV10
19A,22.265883304707774,-0.08879308987017964,0.21192394786343918,-0.5041640276825204,0.32657784794216116,PCV13 vs PCV10
4,89.59862936138244,0.04641393165466213,0.10564508988678849,-0.16065044452344332,0.2534783078327676,PCV14 vs PCV13
6B,82.89136904654303,-0.11103512642271518,0.1098361606731635,-0.32631400134211563,0.10424374849668527,PCV14 vs PCV13
9V,740.2055932754421,0,0.03675562557451613,-0.07204102612605161,0.07204102612605161,PCV14 vs PCV13
14,104.9072086108305,-0.07479667161227432,0.09763315738401294,-0.2661576600849397,0.11656431686039104,PCV14 vs PCV13
18C,31.5873301298015,0.10307078358439714,0.1779276899492191,-0.24566748871607225,0.45180905588486653,PCV14 vs PCV13
19F,312.38204155388775,0.0024591652359602367,0.05657922189815533,-0.1084361096844242,0.11335444015634467,PCV14 vs PCV13
23F,113.71670489872979,-0.0058456586230857255,0.09377517138477831,-0.1896449945372512,0.17795367729107975,PCV14 vs PCV13
1,34.77433664164527,0.10187621970168337,0.169578415478211,-0.2304974746356102,0.43424991403897695,PCV14 vs PCV13
3,3845.8605265634255,0,0.016125130384483818,-0.031605255553588285,0.031605255553588285,PCV14 vs PCV13
5,465.23509136453146,0,0.046362171329924984,-0.09086985580665297,0.09086985580665297,PCV14 vs PCV13
7F,125.83411892037877,0.03264756722046469,0.08914578090976338,-0.14207816336267154,0.20737329780360092,PCV14 vs PCV13
19A,180.42687286077734,0.001974176630662461,0.07444737495888423,-0.14394267828875063,0.14789103155007555,PCV14 vs PCV13
4,13725.870767726805,8.426264015602994e-4,0.008535521236380978,-0.015886995221746417,0.017572248024867013,PCV15 vs PCV13
