Comparison,serotype,RR,lci_RR,uci_RR
PCV13 vs PCV7,4,1.0452082819464341,0.9540251504698717,1.1451064493544674
PCV13 vs PCV7,6B,1.007932967827857,0.9440034442110544,1.0761919078413202
PCV13 vs PCV7,9V,1,0.9725109315390892,1.0282660765750025
PCV13 vs PCV7,14,1.020171607260873,0.9641951994489539,1.079397728650828
PCV13 vs PCV7,18C,1.0114870955763289,0.9566594172617222,1.0694570356563342
PCV13 vs PCV7,19F,1.0003427256091184,0.9700728447558546,1.0315571393310465
PCV13 vs PCV7,23F,1.004505798095732,0.951020958516331,1.0609985924832974
PCV13 vs PCV7,1,0.7838148162472707,0.40036773131073766,1.534503453006593
PCV13 vs PCV7,3,1,0.7987583485871479,1.25194309614267
PCV13 vs PCV7,5,0.9663116199599843,0.7089502498601826,1.3170996794963292
PCV13 vs PCV7,6A,0.5351539349795335,0.38144722128077446,0.7507977988736582
PCV13 vs PCV7,7F,0.8014217868326482,0.4560621528654798,1.4083099778715484
PCV13 vs PCV7,19A,0.968988141480301,0.8327811314753609,1.1274727330409355
PCV13 vs PCV10,6B,1,0.9077453235165199,1.1016305720266277
PCV13 vs PCV10,9V,1,0.8881203815097544,1.125973483797384
PCV13 vs PCV10,14,1.0377038669757332,0.908097245193463,1.1858083715549428
PCV13 vs PCV10,19F,0.9117912086029437,0.674333161271281,1.2328671580058383
PCV13 vs PCV10,23F,1.0750641361978224,0.8627289191364422,1.3396593892965167
PCV13 vs PCV10,1,1.00901666967149,0.9186128951912328,1.1083173826587729
PCV13 vs PCV10,5,1,0.8131185560531461,1.229832959235331
PCV13 vs PCV10,6A,0.6901673614289376,0.4472833984470631,1.0649422456446402
PCV13 vs PCV10,7F,0.9221986500234658,0.7240268232662539,1.174611661856011
PCV13 vs PCV10,19A,0.9150348839752903,0.6040103003201676,1.3862161596380915
PCV14 vs PCV13,4,1.0475079179153555,0.8515896969280932,1.2884994288370484
PCV14 vs PCV13,6B,0.8949073134843425,0.7215785752142484,1.1098709513235967
PCV14 vs PCV13,9V,1,0.9304927205164768,1.074699433913833
PCV14 vs PCV13,14,0.9279321420947375,0.7663183001681503,1.1236297764826828
PCV14 vs PCV13,18C,1.1085698748482267,0.7821822661193386,1.5711519177213278
PCV14 vs PCV13,19F,1.0024621914629448,0.8972362176908575,1.1200288458027206
PCV14 vs PCV13,23F,0.9941713939951745,0.8272527610699154,1.1947699749711391
PCV14 vs PCV13,1,1.1072464079545243,0.7941384404886378,1.5438046383623436
PCV14 vs PCV13,3,1,0.9688889701416031,1.0321100051885719
PCV14 vs PCV13,5,1,0.9131365425852216,1.0951264716324411
PCV14 vs PCV13,7F,1.0331863463324997,0.8675534429412837,1.2304418072837353
PCV14 vs PCV13,19A,1.0019761266003306,0.8659373836492585,1.1593865529238392
PCV15 vs PCV13,4,1.0008429815109212,0.9842385374287902,1.0177275482998878
PCV15 vs PCV13,6B,1.0333511821748649,0.9885818225546273,1.080147987086001
PCV15 vs PCV13,9V,1,0.9898483719910048,1.0102557404712158
PCV15 vs PCV13,14,1.0625233034950694,1.0032823093291934,1.1252623114872908
PCV15 vs PCV13,18C,1.002105584057404,0.9748278770345837,1.0301465779311156
PCV15 vs PCV13,19F,1.000842162916028,0.9816942167267216,1.0203635898053542
PCV15 vs PCV13,23F,1.0020470803301984,0.9738410404093335,1.031070071534697
PCV15 vs PCV13,1,1.0143894649275376,0.9411754769313067,1.0932987649773607
PCV15 vs PCV13,3,1,0.9499915432480195,1.052640949393088
PCV15 vs PCV13,5,1,0.964158161357497,1.0371742314477108
PCV15 vs PCV13,6A,1.2486742285116728,1.1276259052284878,1.3827168405050851
PCV15 vs PCV13,7F,1.0393832568247137,0.9769701976907504,1.105783530675837
PCV15 vs PCV13,19A,1.0004171444890548,0.9770862343257994,1.0243051512011336
PCV20 vs PCV13,4,1.0098204900962064,0.9093402037538179,1.121403648500965
PCV20 vs PCV13,6B,1,0.8898077305095172,1.123838291927836
PCV20 vs PCV13,9V,1,0.9547394427327582,1.0474061877423773
PCV20 vs PCV13,14,1.0238618518678633,0.9657347047183786,1.085487646440113
PCV20 vs PCV13,18C,1.0377099563115226,0.9333035910260521,1.1537960035535784
PCV20 vs PCV13,19F,1,0.9667332389566382,1.0344115208858087
PCV20 vs PCV13,23F,1.0113316883837509,0.9218570138393729,1.1094907003737808
PCV20 vs PCV13,1,1.0105984781818176,0.8924140745470768,1.1444343082797597
PCV20 vs PCV13,3,1,0.9561907445383875,1.0458164395669423
PCV20 vs PCV13,5,1,0.9232063164525427,1.0831814971138196
PCV20 vs PCV13,6A,1.1233899263040963,1.0009287361229482,1.2608339444922338
PCV20 vs PCV13,7F,1.0271326142463302,0.9379242826518364,1.1248257740653078
PCV20 vs PCV13,19A,1.0000200387497578,0.9773718330945155,1.0231930612679725
