serotype,vaccine,median,lci,uci,in_pcv7
4,PCV13,0.5819128900615806,0.5419237472421583,0.618027234322477,TRUE
4,PCV14,0.5629145729633473,0.451038335462364,0.6512682115560171,TRUE
4,PCV15,0.5815720375147324,0.5411011213140561,0.6182266264532158,TRUE
4,PCV20,0.5780461776544681,0.5149228001725248,0.6324157428988237,TRUE
6B,PCV10,0.596963262257683,0.5467237434777088,0.6418530662148069,TRUE
6B,PCV13,0.5970487986445868,0.569528096705069,0.6226520364399495,TRUE
6B,PCV14,0.6388531079757881,0.5498361218111046,0.7119444137050785,TRUE
6B,PCV15,0.583385963052709,0.5487463636946391,0.6156510117420558,TRUE
6B,PCV20,0.596894469221983,0.5399209087463114,0.64755387509045,TRUE
9V,PCV10,0.6000517821394693,0.5484752990867597,0.6459171315784408,TRUE
9V,PCV13,0.6000058992264529,0.5887665794816187,0.6110370890957435,TRUE
9V,PCV14,0.6001492904350991,0.5674248310026512,0.6299585685044341,TRUE
9V,PCV15,0.5999801083980563,0.5879050698662807,0.6117740096615765,TRUE
9V,PCV20,0.5998269250590971,0.5778831001671263,0.6211083718860454,TRUE
14,PCV10,0.5764316566572261,0.5113108943193546,0.6338552617886077,TRUE
14,PCV13,0.5923408911440444,0.5681529129418694,0.6147097492121799,TRUE
14,PCV14,0.6220697094339607,0.536731247384373,0.6901302490410204,TRUE
14,PCV15,0.5668254795041606,0.5304039728746164,0.6004710470502667,TRUE
14,PCV20,0.5824566246427111,0.5465821903271609,0.6151071352420703,TRUE
18C,PCV13,0.5952713019689302,0.5721711948902191,0.6176347961896047,TRUE
18C,PCV14,0.5513183477318213,0.35949373145290814,0.6847180022921937,TRUE
18C,PCV15,0.594425327445292,0.5685474738572428,0.6189089126823775,TRUE
18C,PCV20,0.5799542696570759,0.5269224110249685,0.627378622291785,TRUE
19F,PCV10,0.6349627054577048,0.50547010557007,0.7320412632724215,TRUE
19F,PCV13,0.5998887657400978,0.5874617514826579,0.6119498131117964,TRUE
19F,PCV14,0.598895354254083,0.5504544127313314,0.6422793064789533,TRUE
19F,PCV15,0.5995661589438441,0.5848424814149707,0.6138538080213926,TRUE
19F,PCV20,0.5998354068596632,0.5814131965694058,0.6177144653438839,TRUE
23F,PCV10,0.5680672359551321,0.46018874302566537,0.6563203721777274,TRUE
23F,PCV13,0.5983336688067908,0.5754201379006664,0.619862614193458,TRUE
23F,PCV14,0.601058984175985,0.5161166270228713,0.6701910449066232,TRUE
23F,PCV15,0.5975219319816706,0.5720379016286885,0.6216072176117229,TRUE
23F,PCV20,0.5939644933973562,0.5478416050445278,0.6350973116400853,TRUE
1,PCV10,-0.008937041493213838,-0.1081546255290624,0.0822118904951572,FALSE
1,PCV13,0,0,0,FALSE
1,PCV14,-0.10845117598560894,-0.5451037988179989,0.208970680090383,FALSE
1,PCV15,-0.01439958743177927,-0.09274295236159072,0.058583842915304614,FALSE
1,PCV20,-0.010548935287414185,-0.14512289382255877,0.10970897316481969,FALSE
3,PCV13,0,0,0,FALSE
3,PCV14,1.6397974973769713e-5,-0.0316238237116919,0.03111647834898435,FALSE
3,PCV15,2.649625233211994e-4,-0.05350590922727605,0.05089982308495502,FALSE
3,PCV20,-3.4628993944130215e-5,-0.04641551361152097,0.044022572387971394,FALSE
5,PCV10,-6.621479477767478e-4,-0.23194285032559772,0.18534498103139554,FALSE
5,PCV13,0,0,0,FALSE
5,PCV14,-5.515867581284972e-4,-0.09398692078041053,0.08796750684504444,FALSE
5,PCV15,-3.539133690949603e-4,-0.0374210156925091,0.0356610788834987,FALSE
5,PCV20,-1.996200419017713e-4,-0.08268708290689508,0.07790835261175003,FALSE
6A,PCV10,0.31056852265901863,-0.07042399915061279,0.5538887048494112,FALSE
6A,PCV13,0,0,0,FALSE
6A,PCV15,-0.24855788514445742,-0.3824276583970931,-0.12622716892790078,FALSE
6A,PCV20,-0.12164713121104287,-0.2613474520026655,3.7140317108091286e-4,FALSE
7F,PCV10,0.07810528296012298,-0.17575415152059226,0.2749821314092846,FALSE
7F,PCV13,0,0,0,FALSE
7F,PCV14,-0.0335894865984796,-0.23211797856044317,0.1327683934285031,FALSE
7F,PCV15,-0.03942213552833884,-0.10485128355052975,0.02337695742708959,FALSE
7F,PCV20,-0.027487553044886703,-0.1255088440973381,0.062269854035724354,FALSE
19A,PCV10,0.08420509997855496,-0.3865663664519454,0.3985607648462374,FALSE
19A,PCV13,0,0,0,FALSE
19A,PCV14,-0.00128557495962911,-0.15824753578111234,0.13432119987533114,FALSE
19A,PCV15,-2.914778975005028e-4,-0.02434499895415672,0.022963434273542277,FALSE
19A,PCV20,-1.1320139162229736e-4,-0.02348123246808239,0.02235881843664107,FALSE
