serotype,vaccine,median,lci,uci,in_pcv7
4,PCV13,0.5825466329501972,0.5428878877149766,0.6183520447560432,TRUE
4,PCV14,0.5620297872130363,0.4519054232550638,0.6499327049855358,TRUE
4,PCV15,0.5821736395613022,0.5419611834161815,0.6187077102035241,TRUE
4,PCV20,0.5783974400912345,0.516980591575772,0.6329691558711267,TRUE
6B,PCV10,0.5967637184553694,0.5481800961821164,0.639217825464424,TRUE
6B,PCV13,0.5964751313120634,0.5698804353121213,0.6218004194808922,TRUE
6B,PCV14,0.6369560395186845,0.5446220561742248,0.7117661499140173,TRUE
6B,PCV15,0.5831371541171513,0.5487353829937169,0.6146430225282878,TRUE
6B,PCV20,0.5964598362449448,0.5387010789023048,0.6472549647079329,TRUE
9V,PCV10,0.5996851320499138,0.5473917823959201,0.6459569039308269,TRUE
9V,PCV13,0.600033408157876,0.5890077537054619,0.610773688084566,TRUE
9V,PCV14,0.600028632245379,0.5654276779160115,0.6312965693799926,TRUE
9V,PCV15,0.6000546388068893,0.5882484298614971,0.6116247892309341,TRUE
9V,PCV20,0.6001169424144501,0.5781919368114937,0.6206738996870268,TRUE
14,PCV10,0.5776277907476826,0.5118880979126698,0.6349374842289952,TRUE
14,PCV13,0.5921542114455839,0.5687529811221609,0.6140156990254261,TRUE
14,PCV14,0.621437967265345,0.5359834987840604,0.6916312123335464,TRUE
14,PCV15,0.5661452651691177,0.530080779280111,0.5998485837542332,TRUE
14,PCV20,0.5820288573109433,0.5470550115236528,0.6145826103683313,TRUE
18C,PCV13,0.5950397775822267,0.5716557142336052,0.6169665646329241,TRUE
18C,PCV14,0.5492077916655305,0.36310558811277927,0.6812208550082461,TRUE
18C,PCV15,0.5938919415492439,0.5669362046959625,0.61858252295424,TRUE
18C,PCV20,0.5799843039393726,0.5256724226925574,0.6271042911225887,TRUE
19F,PCV10,0.6359312744291075,0.5054968956793728,0.7313865789689648,TRUE
19F,PCV13,0.5998823912022444,0.5876753975908788,0.6115863680295209,TRUE
19F,PCV14,0.5987080400909255,0.5490063755106336,0.6432457904856786,TRUE
19F,PCV15,0.5995053546433389,0.5850936990936035,0.6135256919631302,TRUE
19F,PCV20,0.5999021908421888,0.5815816452517426,0.6172952013337316,TRUE
23F,PCV10,0.5678681076892821,0.4498407608589022,0.6616754465886349,TRUE
23F,PCV13,0.5978307385040902,0.5750517129822108,0.6196177546351272,TRUE
23F,PCV14,0.6007929693842204,0.5180679807799108,0.6692166665799507,TRUE
23F,PCV15,0.5971366496612442,0.5711103868824094,0.6214165551220319,TRUE
23F,PCV20,0.5935348112423833,0.5475167757977554,0.634316893471291,TRUE
1,PCV10,-0.009292193698455575,-0.10867529474496598,0.08228272760686119,FALSE
1,PCV13,0,0,0,FALSE
1,PCV14,-0.10481009941990882,-0.5406626505960579,0.2066348311557181,FALSE
1,PCV15,-0.01276527783767023,-0.09130413334508926,0.058346076884002944,FALSE
1,PCV20,-0.010970702230274632,-0.14938837939707292,0.11209820376649998,FALSE
3,PCV13,0,0,0,FALSE
3,PCV14,-1.251464060513241e-4,-0.030123970075195013,0.029656769491053638,FALSE
3,PCV15,-1.43458950989106e-4,-0.05293891979609895,0.04947174353430402,FALSE
3,PCV20,-9.021703391798308e-5,-0.04550399557503168,0.04445690214042659,FALSE
5,PCV10,0.001815299707778717,-0.23203608114044583,0.18902831634717876,FALSE
5,PCV13,0,0,0,FALSE
5,PCV14,6.084586229827549e-4,-0.09060854507433586,0.08390166231765556,FALSE
5,PCV15,-1.4552161630765337e-4,-0.037905555435939466,0.03648245907569361,FALSE
5,PCV20,2.4357596859425623e-5,-0.08208368068456527,0.07735819790799178,FALSE
6A,PCV10,0.3096191450932579,-0.05579672013467447,0.5521618715508553,FALSE
6A,PCV13,0,0,0,FALSE
6A,PCV15,-0.2474699407060441,-0.3801725233499089,-0.12536521056033703,FALSE
6A,PCV20,-0.12463234859362904,-0.2590331717773766,-0.003064309078453791,FALSE
7F,PCV10,0.07760561395492233,-0.16913150271479968,0.2754650712439293,FALSE
7F,PCV13,0,0,0,FALSE
7F,PCV14,-0.03444410839990053,-0.22478504343028555,0.12905919936192242,FALSE
7F,PCV15,-0.04020121572052837,-0.10766721385177554,0.023723804542205972,FALSE
7F,PCV20,-0.02638532554018458,-0.12135959749149135,0.060437699359125664,FALSE
19A,PCV10,0.08871888949705248,-0.37059956459606613,0.3961827553325479,FALSE
19A,PCV13,0,0,0,FALSE
19A,PCV14,-0.0016394859648235505,-0.15361640947617594,0.12955639022915758,FALSE
19A,PCV15,-4.658521492932888e-4,-0.024476371447354678,0.022921905345560812,FALSE
19A,PCV20,2.692502584977774e-5,-0.022742539461754526,0.022732289772616224,FALSE
