st,serotype,study_id,logRR,logRR_lci,logRR_uci,sd_logRR,Comparison
1,4,NCT00205803,0.032180288408257596,-0.00867040932222069,0.332774671522375,0.10419328995941662,PCV13 vs PCV7
1,4,NCT00366340,0.06755141036341428,-0.007846347538675299,0.3599037391473186,0.11413183301385277,PCV13 vs PCV7
1,4,NCT00688870,0.12494933014076759,-0.02590234637490076,0.6322494688194249,0.18656589149271632,PCV13 vs PCV7
1,4,NCT00689351,0.07626405886470078,-0.021109558496852164,0.4269558446053506,0.13263702304453096,PCV13 vs PCV7
1,4,NCT00452790,0.019355423749853884,-0.013400034863248651,0.22108672894552164,0.06934105197997024,PCV13 vs PCV7
2,6B,NCT00205803,0,-0.19024839857176734,0.26320831421400254,0.10719689231630239,PCV13 vs PCV7
2,6B,NCT00366340,0.06623006677834842,0,0.2778055670914827,0.09012182750475206,PCV13 vs PCV7
2,6B,NCT00688870,0.03797227870299613,-0.09501312461332474,0.2514195174194041,0.0825209656897136,PCV13 vs PCV7
2,6B,NCT00689351,-0.06265670773360776,-0.33822938342320014,0.07193944340150582,0.10322260853277036,PCV13 vs PCV7
2,6B,NCT00452790,0,-0.06386964287275194,0.14056189461008214,0.04648973478738104,PCV13 vs PCV7
3,9V,NCT00205803,0,-0.02549372029363621,0.10232447416574901,0.0335909090311256,PCV13 vs PCV7
3,9V,NCT00366340,0,-0.025606761483349772,0.10295390937511044,0.03295879003239077,PCV13 vs PCV7
3,9V,NCT00688870,0,-0.07544446337316169,0.26083551262063603,0.08647934907273655,PCV13 vs PCV7
3,9V,NCT00689351,0,-0.032280773352996256,0.15446181062565134,0.04887780961982408,PCV13 vs PCV7
3,9V,NCT00452790,0,-0.02059904772802388,0.05519171052801398,0.018964125016882556,PCV13 vs PCV7
4,14,NCT00205803,0.04111545854871812,-0.03625366337046454,0.2802544692774838,0.08546177446480922,PCV13 vs PCV7
4,14,NCT00366340,0.020325641247674664,-0.02000396576485688,0.14473167009693655,0.044557146190621864,PCV13 vs PCV7
4,14,NCT00688870,0.05501726746313418,-0.023261062658591913,0.29701110357815697,0.08574755919383838,PCV13 vs PCV7
4,14,NCT00689351,0.02489421948725523,-0.08732526992021743,0.24283678294048697,0.08349025309352792,PCV13 vs PCV7
4,14,NCT00452790,-0.007809890300971123,-0.18347300977928618,0.021105168593226174,0.0562074415164951,PCV13 vs PCV7
5,18C,NCT00205803,0.09033715131069497,0,0.5294587263621285,0.1571032654119667,PCV13 vs PCV7
5,18C,NCT00366340,0.020641219865078053,-0.0032619528556768742,0.18932109201060332,0.05731632159417567,PCV13 vs PCV7
5,18C,NCT00688870,0.05497878231400399,-0.0043315699944261425,0.34811679492608627,0.10617510396620355,PCV13 vs PCV7
5,18C,NCT00689351,0,-0.09937619101104889,0.16185925954056837,0.06825996091031113,PCV13 vs PCV7
5,18C,NCT00452790,0,-0.04482203380417239,0.1262475798557488,0.042177625926811915,PCV13 vs PCV7
6,19F,NCT00205803,0,-0.01357595929141002,0.10474168203249458,0.030471305060788427,PCV13 vs PCV7
6,19F,NCT00366340,0,-0.027464137746914183,0.22183388138249077,0.06889746615114277,PCV13 vs PCV7
6,19F,NCT00688870,0.0076489622334201535,-0.02153697272927606,0.2480445574336549,0.07470457166071144,PCV13 vs PCV7
6,19F,NCT00689351,0,-0.05477795873403967,0.12629043974524232,0.04238093823109595,PCV13 vs PCV7
6,19F,NCT00452790,0,-0.017051832549018663,0.06937066717093927,0.02122058603287049,PCV13 vs PCV7
7,23F,NCT00205803,0.03042572111950692,0,0.3105232054191107,0.08941017908684329,PCV13 vs PCV7
7,23F,NCT00366340,0,-0.005342444140785263,0.14750711284588885,0.04483221841131132,PCV13 vs PCV7
7,23F,NCT00688870,0.1804380358692983,0,0.8111343608194208,0.23429388663201173,PCV13 vs PCV7
7,23F,NCT00689351,-0.004145109134866765,-0.2723876482551276,0.17606609426311332,0.11040792447034123,PCV13 vs PCV7
7,23F,NCT00452790,0,-0.048686133591609934,0.1149150977763002,0.042704620899120964,PCV13 vs PCV7
8,1,NCT00366340,-0.08802627522211592,-1.9184870330590318,7.061596867317622e-4,0.5706730143254044,PCV13 vs PCV7
8,1,NCT00688870,-0.45663366311700226,-2.6830839261757653,0.06840206653488179,0.8032529546463006,PCV13 vs PCV7
