serotype,vaccine,median,lci,uci,in_pcv7
4,PCV13,0.5874672556800603,0.5611506620958225,0.611941684498395,TRUE
4,PCV14,0.5709304908937232,0.49143404397916407,0.638045207192072,TRUE
4,PCV15,0.58674610441146835,0.5599092015730404,0.611888887916502,TRUE
4,PCV20,0.5727916556787634,0.5233308308333182,0.6165633312591057,TRUE
6B,PCV10,0.584288301006006,0.5396666111669284,0.6246147971498068,TRUE
6B,PCV13,0.5892886141264579,0.5690104701429053,0.60849306192139,TRUE
6B,PCV14,0.63536407284832,0.5765275720119419,0.6871534640081132,TRUE
6B,PCV15,0.564414124524804,0.5378425579086721,0.5897389784903126,TRUE
6B,PCV20,0.5133809586546219,0.46539414721594546,0.5576828231732419,TRUE
9V,PCV10,0.6003439390342706,0.5414096981648444,0.6521673463792209,TRUE
9V,PCV13,0.5999263728956766,0.5858061451270028,0.613688366565783,TRUE
9V,PCV14,0.5999315912966313,0.5682255981381327,0.6291283140472853,TRUE
9V,PCV15,0.5998600633622092,0.5838948774846039,0.6153162654470866,TRUE
9V,PCV20,0.5994431563937291,0.566142695394802,0.6308158614508202,TRUE
14,PCV10,0.5798027693774364,0.5427755095625385,0.614544084718507,TRUE
14,PCV13,0.5947343046280505,0.5818492012254202,0.6069650802627963,TRUE
14,PCV14,0.6112631058260041,0.5716448554284791,0.6462520058359267,TRUE
14,PCV15,0.5770363576684828,0.558420628539099,0.5948857292405422,TRUE
14,PCV20,0.5814441540072168,0.5604897482483293,0.6011829367212306,TRUE
18C,PCV13,0.5955741636213033,0.5820083090810776,0.6090100363001999,TRUE
18C,PCV14,0.5594990522216886,0.4397425310140446,0.6529964243492778,TRUE
18C,PCV15,0.5914972848247367,0.5740276465022213,0.608178260825777,TRUE
18C,PCV20,0.5774173506488931,0.5410352822297184,0.6111481143149398,TRUE
19F,PCV10,0.6062413604416531,0.5430990585640413,0.6614462751596303,TRUE
19F,PCV13,0.5991255782417796,0.5891086416995049,0.6089051279747754,TRUE
19F,PCV14,0.598511883355646,0.5762055496997721,0.619650312389295,TRUE
19F,PCV15,0.597835811090831,0.5855972487143369,0.6098146352884773,TRUE
19F,PCV20,0.5968990665438452,0.5794544211277509,0.6138258748625991,TRUE
23F,PCV10,0.5707469280027047,0.5216850339501977,0.6157793472341329,TRUE
23F,PCV13,0.5937264837768508,0.5800241836655082,0.6068902119400303,TRUE
23F,PCV14,0.6007992116867302,0.5604382782809659,0.6368297228312523,TRUE
23F,PCV15,0.5896959993555224,0.5734817824336836,0.6052978594561735,TRUE
23F,PCV20,0.5647512625952285,0.5283789461081995,0.5980717071261673,TRUE
1,PCV10,-2.518679081552344e-4,-0.039899598033873364,0.03823794860598117,FALSE
1,PCV13,0,0,0,FALSE
1,PCV14,-0.00796500350930307,-0.19992451208889056,0.15561842424939523,FALSE
1,PCV15,-0.0037701874032446403,-0.047406148089376085,0.03819793825371245,FALSE
1,PCV20,-0.0053280429832140985,-0.09031912640894178,0.07404967896565387,FALSE
3,PCV13,0,0,0,FALSE
3,PCV14,-0.005721016796398026,-0.06186073026829402,0.048187819834639926,FALSE
3,PCV15,-0.044051270086426175,-0.11983947071860979,0.026070342126144484,FALSE
3,PCV20,0.03534632201894178,-0.041278894292966314,0.10591045173058784,FALSE
5,PCV10,0.00936069000569345,-0.23193202712974859,0.20148775492053336,FALSE
5,PCV13,0,0,0,FALSE
5,PCV14,-3.1338973608374676e-4,-0.06695543608319963,0.06443566906875631,FALSE
5,PCV15,-0.0034493760034783882,-0.04425009188520387,0.036055345834035926,FALSE
5,PCV20,-0.005014589174147321,-0.10263517096641964,0.0861721583735884,FALSE
6A,PCV10,0.22919054636258884,0.083140309255372,0.35078786895307335,FALSE
6A,PCV13,0,0,0,FALSE
6A,PCV15,-0.1688675232055067,-0.21650981902634153,-0.12253436266198792,FALSE
6A,PCV20,-0.09809055533771305,-0.15578929848506223,-0.044279759217223956,FALSE
7F,PCV10,0.03287952231012925,-0.07100838307000887,0.12559083878351643,FALSE
7F,PCV13,0,0,0,FALSE
7F,PCV14,-0.016528845726426877,-0.09806770033873438,0.058868392266699814,FALSE
7F,PCV15,-0.02621963366424762,-0.05873880929772457,0.005947925867999342,FALSE
7F,PCV20,-0.026293313702580035,-0.07813537403939416,0.023209628009825185,FALSE
19A,PCV10,0.04370891652680298,-0.17408573228360064,0.2232852683275932,FALSE
19A,PCV13,0,0,0,FALSE
19A,PCV14,-0.00400580870338807,-0.05593076636697467,0.045333603621023455,FALSE
19A,PCV15,-0.0065202942030858635,-0.023900457747335357,0.010394236704022394,FALSE
19A,PCV20,-0.009586628872665703,-0.041652962926837324,0.021001209962887978,FALSE
