serotype,vaccine,median,lci,uci,in_pcv7
4,PCV13,0.5876818444351295,0.5615137096439288,0.6120038819754006,TRUE
4,PCV14,0.5704777911893091,0.4917542288011708,0.6368858041561092,TRUE
4,PCV15,0.5869382283524587,0.5597922646557713,0.6120394761131068,TRUE
4,PCV20,0.5725200081366243,0.5241972416597291,0.6166976518367951,TRUE
6B,PCV10,0.5841923613287047,0.5391318476577127,0.6239592644564409,TRUE
6B,PCV13,0.5890689208697122,0.5692743252242396,0.6082400917708777,TRUE
6B,PCV14,0.6353149677439061,0.575706347055145,0.68738840979901,TRUE
6B,PCV15,0.5642497365999879,0.5378043317266294,0.5890056785820462,TRUE
6B,PCV20,0.5132017541689815,0.4645747751787951,0.5575332504957425,TRUE
9V,PCV10,0.5999435339619755,0.5399357885281829,0.6520811042636577,TRUE
9V,PCV13,0.5999616296613207,0.585835427952612,0.6136192065333707,TRUE
9V,PCV14,0.5999419365801888,0.5683142516960242,0.6284024887654412,TRUE
9V,PCV15,0.5999358104019783,0.5841223946493909,0.6153757652873436,TRUE
9V,PCV20,0.599708838135737,0.5661293044764577,0.6305033171786574,TRUE
14,PCV10,0.5801557846744096,0.5425737594076276,0.6149685074104212,TRUE
14,PCV13,0.5945905549166582,0.5819624553386716,0.6066859570294764,TRUE
14,PCV14,0.6109896195423337,0.5721705030451978,0.6465556532927423,TRUE
14,PCV15,0.5768666551934891,0.558493975860818,0.5947119668089041,TRUE
14,PCV20,0.581407290556347,0.5609994840320941,0.6009838502802766,TRUE
18C,PCV13,0.5956346827740154,0.5820642929956902,0.6086558759669439,TRUE
18C,PCV14,0.5589358040290259,0.44032668017905163,0.653082019915053,TRUE
18C,PCV15,0.5914233201733877,0.5738037519463519,0.607954519123927,TRUE
18C,PCV20,0.5774311465074033,0.5404985619858822,0.6107011827322036,TRUE
19F,PCV10,0.6062220979694574,0.5431340822861416,0.6605016948383045,TRUE
19F,PCV13,0.5991142388361494,0.5890615871147736,0.6088034193466695,TRUE
19F,PCV14,0.5984633536101406,0.5764122915379042,0.6196915020699089,TRUE
19F,PCV15,0.5977981552382025,0.5856492845835617,0.6097098091146579,TRUE
19F,PCV20,0.5969333450990286,0.5793203994751633,0.6138144040916642,TRUE
23F,PCV10,0.5705833015745561,0.5206843586036617,0.6157244781609855,TRUE
23F,PCV13,0.5936209700929644,0.5800764159537188,0.6068695004857071,TRUE
23F,PCV14,0.6006654018254978,0.5603959667006894,0.6371780928035994,TRUE
23F,PCV15,0.589665544015701,0.5732011324637785,0.6055032716974491,TRUE
23F,PCV20,0.5645489067186682,0.5276030146025951,0.5982544367304973,TRUE
1,PCV10,-5.037275426399423e-4,-0.039575762277735634,0.03757046945128587,FALSE
1,PCV13,0,0,0,FALSE
1,PCV14,-0.0068290412237865805,-0.19809745920096866,0.15328749913093098,FALSE
1,PCV15,-0.0034036451982698557,-0.04823730924718158,0.038451132706941525,FALSE
1,PCV20,-0.005131753701780872,-0.08888373144919977,0.0730380028375601,FALSE
3,PCV13,0,0,0,FALSE
3,PCV14,-0.005982633872616883,-0.06251475557574263,0.04873297767165839,FALSE
3,PCV15,-0.04461919281599236,-0.1180120330454052,0.02323277998976894,FALSE
3,PCV20,0.035256205192590206,-0.03959600675944552,0.10645989591780833,FALSE
5,PCV10,0.011905635940450798,-0.22828783606630454,0.20284129632934264,FALSE
5,PCV13,0,0,0,FALSE
5,PCV14,0.00054557544767019905,-0.06776463671360629,0.06425791412160071,FALSE
5,PCV15,-0.0032177432960454055,-0.0440781370889133,0.0363039771583455,FALSE
5,PCV20,-0.004751421247003229,-0.10158610693251341,0.08525453507543437,FALSE
6A,PCV10,0.22895126316456832,0.08713745531519726,0.3508026421238322,FALSE
6A,PCV13,0,0,0,FALSE
6A,PCV15,-0.1690858423294962,-0.21651417034681986,-0.122658886520473,FALSE
6A,PCV20,-0.09895691245984461,-0.1552798003332648,-0.044681885081155844,FALSE
7F,PCV10,0.03261796415104673,-0.06898102207306966,0.12618179064431725,FALSE
7F,PCV13,0,0,0,FALSE
7F,PCV14,-0.016448312779310248,-0.09606368504566566,0.05870636835523926,FALSE
7F,PCV15,-0.026199498906924745,-0.05937480994200069,0.0062297150461200854,FALSE
7F,PCV20,-0.025976411857732362,-0.0771229433045964,0.022680078520171808,FALSE
19A,PCV10,0.04380958215219749,-0.17361269118233563,0.22229174340128938,FALSE
19A,PCV13,0,0,0,FALSE
19A,PCV14,-0.003868992899636714,-0.05587427329951212,0.045276859356028744,FALSE
19A,PCV15,-0.006638961309625713,-0.023933142374938397,0.010319447824536188,FALSE
19A,PCV20,-0.00936551692682952,-0.04040981360189169,0.021349152613953433,FALSE
