st,serotype,study_id,logRR,logRR_lci,logRR_uci,sd_logRR,Comparison
1,4,NCT00205803,0.034237241197043744,-0.10830179530436941,0.2206587017836118,0.07653392220387564,PCV13 vs PCV7
1,4,NCT00366340,0.046164167198918804,-0.1105540613564365,0.22285316826982957,0.08077534027810077,PCV13 vs PCV7
1,4,NCT00688870,0.06612230917203332,-0.16913600601938342,0.3468771094543063,0.12183653386596088,PCV13 vs PCV7
1,4,NCT00689351,0.031046233369314002,-0.09452675551448339,0.20439879917378123,0.07283907642696764,PCV13 vs PCV7
1,4,NCT00452790,0.01830951191708685,-0.06225022106495101,0.13084740787133423,0.04844353042968029,PCV13 vs PCV7
2,6B,NCT00205803,0.012121018522123439,-0.14014607231740764,0.1843116358651665,0.07695395372326926,PCV13 vs PCV7
2,6B,NCT00366340,0.1306558954978001,0.041181894571433966,0.2747449004555915,0.05987707295136772,PCV13 vs PCV7
2,6B,NCT00688870,0.028696627316609824,-0.05287837609712276,0.1304236097047052,0.045860208787289906,PCV13 vs PCV7
2,6B,NCT00689351,-0.046297671823785524,-0.17303684428094426,0.04387419115503595,0.05448611632046466,PCV13 vs PCV7
2,6B,NCT00452790,0.020340989170795742,-0.06702628560965357,0.12812664048877567,0.04872123730073345,PCV13 vs PCV7
3,9V,NCT00205803,1.6354153186481923e-4,-0.110732271196277,0.08070980848572774,0.04440583929623986,PCV13 vs PCV7
3,9V,NCT00366340,3.6936384613861506e-4,-0.10425982638045156,0.07737530742082395,0.04302026826877408,PCV13 vs PCV7
3,9V,NCT00688870,0.00166126605731165,-0.2261067243365104,0.15391472428630051,0.0925787922492493,PCV13 vs PCV7
3,9V,NCT00689351,2.4673931922514214e-5,-0.0881327776107776,0.07025547847498338,0.03717640825114467,PCV13 vs PCV7
3,9V,NCT00452790,1.1426502346445488e-4,-0.07017812453195453,0.052182308104092225,0.02807984663113435,PCV13 vs PCV7
4,14,NCT00205803,0.03257382587058011,-0.030060818392412945,0.15594043782430292,0.04760027900138352,PCV13 vs PCV7
4,14,NCT00366340,0.017865477261988172,-0.017077383631162,0.0813430946329602,0.025510115575149074,PCV13 vs PCV7
4,14,NCT00688870,0.02829545101669151,-0.01749454307213716,0.12498341102754268,0.03660071104081012,PCV13 vs PCV7
4,14,NCT00689351,0.012870755339668527,-0.043955627122486504,0.10401027835148591,0.03650613736714817,PCV13 vs PCV7
4,14,NCT00452790,-0.027381192113091757,-0.1353869890996793,0.02271642999349557,0.04028279292034478,PCV13 vs PCV7
5,18C,NCT00205803,0.07456231295833149,-0.11933722246829939,0.3191068945420419,0.10667641947782155,PCV13 vs PCV7
5,18C,NCT00366340,0.02025788828966979,-0.03897646544076236,0.11168992757451914,0.03720822540010549,PCV13 vs PCV7
5,18C,NCT00688870,0.03483372616287017,-0.06779123442260705,0.18311773168364948,0.061267032542090614,PCV13 vs PCV7
5,18C,NCT00689351,0.002157890505376958,-0.048578601694759874,0.07148004718839988,0.02836408301309316,PCV13 vs PCV7
5,18C,NCT00452790,0.003968421024923785,-0.04192852696082849,0.08002503556416082,0.0290949752237859,PCV13 vs PCV7
6,19F,NCT00205803,0.0024270878053920253,-0.05410522971281992,0.07127508034967413,0.029226001008868914,PCV13 vs PCV7
6,19F,NCT00366340,0.01788919215217577,-0.14024392872281644,0.15702560287550602,0.07411069761118384,PCV13 vs PCV7
6,19F,NCT00688870,0.008076812268905442,-0.08390093257598519,0.10351329499514314,0.04473518317467696,PCV13 vs PCV7
6,19F,NCT00689351,6.234391081005874e-4,-0.04343910398368511,0.054368318666004035,0.022718576305964994,PCV13 vs PCV7
6,19F,NCT00452790,0.0010692738713609096,-0.03714922710324233,0.04897505347887028,0.020165404060691165,PCV13 vs PCV7
7,23F,NCT00205803,0.0456671120665022,-0.02737265470022583,0.17534575927920198,0.05151881654053585,PCV13 vs PCV7
7,23F,NCT00366340,0.02107729563414784,-0.019792807729598395,0.10026260506872346,0.030808769997009103,PCV13 vs PCV7
7,23F,NCT00688870,0.09616219223527045,-0.047228188558289426,0.2941853133292267,0.08725303084955992,PCV13 vs PCV7
7,23F,NCT00689351,-0.0033942936523723155,-0.08835680368404099,0.0615925393831353,0.03497176993409793,PCV13 vs PCV7
7,23F,NCT00452790,0.0060487012400995965,-0.040635796155702585,0.07852697162755698,0.028744522760690974,PCV13 vs PCV7
8,1,NCT00366340,-0.0766138321912746,-1.457939799062374,1.92299158730325,0.8631409131864664,PCV13 vs PCV7
8,1,NCT00688870,-0.09936822860550798,-1.908509778346712,2.4844163273849693,1.1194952830820846,PCV13 vs PCV7
