serotype,total_inv_var,pooled_logRR,se_logRR,lci_logRR,uci_logRR,Comparison
4,1005.953572656402,0.030844887055087016,0.0315290606043907,-0.03095207172951876,0.09264184583969279,PCV13 vs PCV7
6B,1681.3755486948107,0.026827946337965192,0.02438751987216442,-0.02097159261147707,0.07462748528740745,PCV13 vs PCV7
9V,3155.9396653564377,2.0251080497610195e-4,0.017800641514892135,-0.03468674656421248,0.035091768174164685,PCV13 vs PCV7
14,4091.0963476247343,0.013623576599506271,0.015634361380941656,-0.01701977170713937,0.04426692490615192,PCV13 vs PCV7
18C,3500.8750924298365,0.01080720016812704,0.016900972381907957,-0.022318705700412552,0.04393310603666663,PCV13 vs PCV7
19F,6249.141787231512,0.0022358113487026903,0.012649979180382511,-0.022558147844847033,0.02702977054225241,PCV13 vs PCV7
23F,3589.5922470295227,0.01576446141358242,0.016690811051895266,-0.016949528248132305,0.04847845107529714,PCV13 vs PCV7
1,4.084936975640144,-0.08692714833671288,0.49477451275994644,-1.0566851933462078,0.8828308966727821,PCV13 vs PCV7
3,9.086525648828136,0.40266223335548024,0.33174246824321774,-0.24755300440122652,1.052877471112187,PCV13 vs PCV7
5,17.410362574495075,-0.045176531018034184,0.23966029648912815,-0.5149107121367253,0.42455765010065694,PCV13 vs PCV7
6A,121.70556725017805,-0.6014291567602111,0.09064519290936487,-0.7790937348625663,-0.423764578657856,PCV13 vs PCV7
7F,8.173989751354183,-0.5035720982275934,0.34977032098524924,-1.189121927358682,0.18197773090349512,PCV13 vs PCV7
19A,629.4729212180793,-0.028626838900642777,0.039857630237380204,-0.10674779416590799,0.04949411636462243,PCV13 vs PCV7
6B,477.51238431676427,0.012085140169168396,0.04576228276009778,-0.07760893404062325,0.10177921437896004,PCV13 vs PCV10
9V,213.37050504063527,-0.0010056128177744483,0.06845935568746496,-0.13518594996520578,0.13317472432965688,PCV13 vs PCV10
14,601.5473899641809,0.03555950167983868,0.040772287377008054,-0.04435418157909711,0.11547318493877447,PCV13 vs PCV10
19F,178.67807165013556,-0.018107328945189405,0.07481081251460855,-0.16473652147382217,0.12852186358344336,PCV13 vs PCV10
23F,347.33692286389066,0.054818335699970085,0.05365676976084633,-0.05034893303128873,0.1599856044312289,PCV13 vs PCV10
1,2538.645338974576,2.845423088069232e-4,0.019847188020606026,-0.03861594621158088,0.03918503082919473,PCV13 vs PCV10
5,81.66793863184391,-0.010098723939086174,0.11065580530113259,-0.22698410232930605,0.2067866544511337,PCV13 vs PCV10
6A,131.27344104249377,-0.2598933288370531,0.08727936246429019,-0.43096087926706184,-0.08882577840704431,PCV13 vs PCV10
