Comparison,serotype,RR,lci_RR,uci_RR
PCV13 vs PCV7,4,1.0313255195405222,0.9695220394770355,1.0970687451615395
PCV13 vs PCV7,6B,1.0271910555762036,0.9792467820181437,1.0774826979581598
PCV13 vs PCV7,9V,1.0002025313116734,0.9659079428530981,1.0357147500902448
PCV13 vs PCV7,14,1.013716800385255,0.9831242463980653,1.0452613239356898
PCV13 vs PCV7,18C,1.010865808897672,0.9779285139882047,1.0449124542151045
PCV13 vs PCV7,19F,1.0022383126386862,0.9776943847190375,1.0273983885153453
PCV13 vs PCV7,23F,1.015889376076313,0.9831933068712608,1.0496727522575113
PCV13 vs PCV7,1,0.9167438795168954,0.34760614987865746,2.4177343839430403
PCV13 vs PCV7,3,1.4958015744500675,0.7807088387096907,2.8658857684065424
PCV13 vs PCV7,5,0.9558287335194878,0.5975539465514409,1.5289139551232456
PCV13 vs PCV7,6A,0.5480278584381926,0.45882163699715023,0.6545779653940275
PCV13 vs PCV7,7F,0.6043679376455975,0.3044885097489785,1.199587479853066
PCV13 vs PCV7,19A,0.9717790269453183,0.8987523149861306,1.0507394100290721
PCV13 vs PCV10,6B,1.0121584605402458,0.9253262193822158,1.1071390043688305
PCV13 vs PCV10,9V,0.9989948926413489,0.8735534593491278,1.1424495946328104
PCV13 vs PCV10,14,1.0361993018929057,0.9566150820245289,1.1224044168015883
PCV13 vs PCV10,19F,0.9820556237074924,0.8481171353047957,1.1371462831120782
PCV13 vs PCV10,23F,1.0563486963971538,0.9508975670355546,1.1734939777569573
PCV13 vs PCV10,1,1.0002845827948095,0.9621201440866325,1.0399628910450207
PCV13 vs PCV10,5,0.9899520969542488,0.7969334515750115,1.2297201884640319
PCV13 vs PCV10,6A,0.7711338391598687,0.6498843342289342,0.9150049733126235
PCV13 vs PCV10,7F,0.9672542145436874,0.873907572827534,1.0705716996197299
PCV13 vs PCV10,19A,0.9558984253917282,0.7783554102122617,1.1739390356613608
PCV14 vs PCV13,4,1.041364973672149,0.8891448787977434,1.2196448905576807
PCV14 vs PCV13,6B,0.8868968257392655,0.7672002397997831,1.02526816168835
PCV14 vs PCV13,9V,1.0002645419026464,0.9360599268988412,1.068872969599773
PCV14 vs PCV13,14,0.9594971516109706,0.8772623132532902,1.0494407089430648
PCV14 vs PCV13,18C,1.0892233996516503,0.8596459498131085,1.380111910730958
PCV14 vs PCV13,19F,1.0015952641807186,0.9544154382340317,1.0511073407251936
PCV14 vs PCV13,23F,0.9830120557657334,0.8986663892359192,1.075274109897856
PCV14 vs PCV13,1,1.007389828537949,0.8461219164992623,1.1993948470694211
PCV14 vs PCV13,3,1.0057497746778994,0.9518215134830548,1.0627335009093104
PCV14 vs PCV13,5,0.9999149758907977,0.9363823617899031,1.0677582148167666
PCV14 vs PCV13,7F,1.0163547077168351,0.9412849717474931,1.097411435328086
PCV14 vs PCV13,19A,1.004245520709752,0.954765130464881,1.0562902159765217
PCV15 vs PCV13,4,1.0017718360733856,0.9865232595736466,1.0172561080653615
PCV15 vs PCV13,6B,1.0600979733661566,1.0249977036613764,1.0964002252109426
PCV15 vs PCV13,9V,1.0000464275927048,0.9825102929979441,1.0178955523095201
PCV15 vs PCV13,14,1.0436460249612598,1.0127435619489462,1.0754914337064394
PCV15 vs PCV13,18C,1.0101774588604093,0.984828892020285,1.0361784739035207
PCV15 vs PCV13,19F,1.0032057686230216,0.9862024043499353,1.0205022921860547
PCV15 vs PCV13,23F,1.0100252671352294,0.9888431980619595,1.0316610785724094
PCV15 vs PCV13,1,1.0037644579626295,0.9616614030403999,1.0477108511203126
PCV15 vs PCV13,3,1.0444214205194646,0.9751533666285408,1.118609791002664
PCV15 vs PCV13,5,1.0030605008907247,0.9637467299221791,1.043977984266048
PCV15 vs PCV13,6A,1.1689102440680783,1.1230810005527647,1.2166096283480852
PCV15 vs PCV13,7F,1.0262000174386812,0.9942326332418824,1.0591952432272949
PCV15 vs PCV13,19A,1.0066113975987927,0.9896420090060783,1.0238717602473677
PCV20 vs PCV13,4,1.0361201390261263,0.9474302337549958,1.133112396298234
PCV20 vs PCV13,6B,1.1845591755171496,1.0909415731241083,1.2862104395596627
PCV20 vs PCV13,9V,1.0007331944755022,0.9309020293111111,1.075802710695831
PCV20 vs PCV13,14,1.032479498219333,0.9948311863324876,1.0715525698115458
PCV20 vs PCV13,18C,1.0449094697707204,0.9685723992763298,1.1272629705660566
PCV20 vs PCV13,19F,1.0054669238225604,0.9708684543168541,1.0412983658147192
PCV20 vs PCV13,23F,1.071619878532966,0.9957154859200955,1.1533105393111898
PCV20 vs PCV13,1,1.0053600376836123,0.9273831154746778,1.089893473911099
PCV20 vs PCV13,3,0.9645973601833907,0.8944259408836159,1.040274017940002
PCV20 vs PCV13,5,1.0047799574297696,0.9151202063622758,1.1032242057748842
PCV20 vs PCV13,6A,1.0988345948937512,1.0448720934291245,1.1555839939917172
PCV20 vs PCV13,7F,1.026101561078266,0.9768997346245858,1.0777814511863584
PCV20 vs PCV13,19A,1.009459313915151,0.9786336610039672,1.041255933711355
