serotype,total_inv_var,pooled_logRR,se_logRR,lci_logRR,uci_logRR,Comparison
4,462.43297938815465,0.04346663415589997,0.04650242493956757,-0.04767811872565247,0.1346113870374524,PCV13 vs PCV7
6B,913.5346272329793,0.008593113717388724,0.033085484067280395,-0.05625443505448085,0.07344066248925829,PCV13 vs PCV7
9V,5139.68700003199,0,0.013948633523326226,-0.027339321705719403,0.027339321705719403,PCV13 vs PCV7
14,1236.6017529748954,0.019771250890162496,0.028437084671100857,-0.03596543506519518,0.07550793684552018,PCV13 vs PCV7
18C,1210.369276827671,0.012244412222159901,0.028743592971319655,-0.04409303000162662,0.06858185444594643,PCV13 vs PCV7
19F,4244.282143062565,3.229266671478937e-4,0.01534962877944409,-0.02976234574056252,0.030408199074858307,PCV13 vs PCV7
23F,1271.2138396153778,0.005312236568400846,0.028047276362454836,-0.04966042510201063,0.06028489823881232,PCV13 vs PCV7
1,8.590481902100132,-0.24639758663969077,0.34118602677207316,-0.9151221991129542,0.4223270258335726,PCV13 vs PCV7
3,75.54568911724316,0,0.11505226063434076,-0.2255024308433079,0.2255024308433079,PCV13 vs PCV7
5,40.00159072853121,-0.034756837186803946,0.15811073914887688,-0.34465388591860263,0.27514021154499474,PCV13 vs PCV7
6A,33.520815007382296,-0.6240044441795015,0.17272003421325774,-0.9625357112374866,-0.2854731771215164,PCV13 vs PCV7
7F,12.121576461689019,-0.22011449833570776,0.28722381565978244,-0.7830731770288814,0.3428441803574659,PCV13 vs PCV7
19A,168.40409572249112,-0.030586100713993494,0.07705905435104007,-0.18162184724203206,0.12044964581404506,PCV13 vs PCV7
6B,452.3453449022513,0,0.0470180850611402,-0.09215544671983479,0.09215544671983479,PCV13 vs PCV10
9V,272.7688901034485,0,0.0605483875056405,-0.11867483951105537,0.11867483951105537,PCV13 vs PCV10
14,218.05638103266296,0.0358618272129938,0.06771978957714453,-0.09686896035820947,0.16859261478419707,PCV13 vs PCV10
19F,41.94488187603789,-0.09435227987626593,0.15440469866820816,-0.39698548926595395,0.2082809295134221,PCV13 vs PCV10
23F,69.1530537776265,0.0713577079998915,0.12025255661514964,-0.1643373029658018,0.3070527189655848,PCV13 vs PCV10
1,422.3976689332159,0.00871225483902105,0.04865631826824366,-0.08665412896673652,0.10407863864477862,PCV13 vs PCV10
5,87.28100926033257,0,0.10703852608373353,-0.2097955111241177,0.2097955111241177,PCV13 vs PCV10
6A,20.735326701240876,-0.3702341746768072,0.21960618062919862,-0.8006622887100365,0.06019393935642209,PCV13 vs PCV10
7F,66.20443369906401,-0.08109604046018637,0.12290129597589768,-0.3219825805729458,0.15979049965257308,PCV13 vs PCV10
19A,22.929682525952643,-0.0935122787965621,0.2088338904191061,-0.5028267040180101,0.31580214642488585,PCV13 vs PCV10
4,90.21088486650216,0.04724093460162626,0.10528597629550698,-0.15911957893756742,0.25360144814082,PCV14 vs PCV13
6B,79.62586780703852,-0.1065479359490884,0.11206575225363354,-0.3261968103662101,0.11310093846803332,PCV14 vs PCV13
9V,632.2773535089567,0,0.03976913881296284,-0.07794751207340717,0.07794751207340717,PCV14 vs PCV13
14,101.68698416999088,-0.07428688467821543,0.09916703224828384,-0.26865426788485175,0.1200804985284209,PCV14 vs PCV13
18C,32.823199701659995,0.10517589273946237,0.17454585601566655,-0.23693398505124408,0.4472857705301688,PCV14 vs PCV13
19F,293.8567804000627,0.0028558548821879803,0.058335394878602245,-0.11148151907987242,0.11719322884424838,PCV14 vs PCV13
23F,119.8407144661076,-0.006965443653887959,0.09134773960563974,-0.18600701328094185,0.17207612597316593,PCV14 vs PCV13
1,34.530782880699114,0.10073807869688256,0.17017540294700081,-0.23280571107923903,0.43428186847300415,PCV14 vs PCV13
3,4328.711308581361,0,0.015199198561806392,-0.029790429181140526,0.029790429181140526,PCV14 vs PCV13
5,510.7337441531192,0,0.044248924943152315,-0.08672789288857853,0.08672789288857853,PCV14 vs PCV13
7F,130.0659297776942,0.03365792044975002,0.08768357029406297,-0.1382018773266134,0.20551771822611345,PCV14 vs PCV13
19A,192.3657384067494,0.002686990375091014,0.0721001449866507,-0.13862929379874434,0.14400327454892636,PCV14 vs PCV13
4,13256.001903199289,8.588531745158405e-4,0.008685477930891417,-0.016164683570031337,0.017882389919063015,PCV15 vs PCV13
6B,1947.0533634309593,0.03211032487486101,0.022662669887546828,-0.012308508104730768,0.0765291578544528,PCV15 vs PCV13
9V,34900.58522052442,0,0.005352832396434641,-0.010491551497011897,0.010491551497011897,PCV15 vs PCV13
14,1135.567403104606,0.06177272833189597,0.02967519225520529,0.003609351511693601,0.11993610515209834,PCV15 vs PCV13
18C,4535.893424793429,0.0023671266045504186,0.014848021204153876,-0.026734994955591177,0.031469248164692015,PCV15 vs PCV13
19F,10550.301897526975,8.44051274744184e-4,0.009735708373293208,-0.018237937136910503,0.01992603968639887,PCV15 vs PCV13
23F,4738.686790364426,0.002104033673508017,0.01452683480225589,-0.026368562538913527,0.030576629885929563,PCV15 vs PCV13
1,716.6329153135465,0.013298791230875033,0.03735524801328454,-0.059917494875162666,0.08651507733691273,PCV15 vs PCV13
3,1421.2465652625176,0,0.026525604254395586,-0.051990184338615346,0.051990184338615346,PCV15 vs PCV13
5,2788.661710801269,0,0.018936603380196676,-0.03711574262518549,0.03711574262518549,PCV15 vs PCV13
6A,371.62614855799376,0.220735603644444,0.051873657204784915,0.11906323552306557,0.3224079717658224,PCV15 vs PCV13
7F,983.2542351144166,0.039415169109219224,0.03189092286780516,-0.023091039711678897,0.10192137793011735,PCV15 vs PCV13
19A,6856.3947116655945,4.2762067288627825e-4,0.012076806123703508,-0.0232429193295726,0.024098160675345155,PCV15 vs PCV13
