Comparison,serotype,RR,lci_RR,uci_RR
PCV13 vs PCV7,4,1.0444251456040687,0.9534406323767416,1.1440920889336013
PCV13 vs PCV7,6B,1.0086301405015332,0.9452985881920233,1.076204675470737
PCV13 vs PCV7,9V,1,0.9730310149572711,1.0277164701105783
PCV13 vs PCV7,14,1.0199679965679413,0.9646736367882286,1.0784317870305822
PCV13 vs PCV7,18C,1.0123196819348992,0.9568649361857158,1.0709882865159939
PCV13 vs PCV7,19F,1.000322978813577,0.9706761914704413,1.030875250403151
PCV13 vs PCV7,23F,1.0053263715153902,0.9515524929853727,1.0621391050045166
PCV13 vs PCV7,1,0.781611404888611,0.40046768630464724,1.5255073234228607
PCV13 vs PCV7,3,1,0.7981151203527338,1.2529520798428697
PCV13 vs PCV7,5,0.9658402441365678,0.7084655209303755,1.3167152806092035
PCV13 vs PCV7,6A,0.5357945764948909,0.3819232101099562,0.7516585025526206
PCV13 vs PCV7,7F,0.8024269161559949,0.4569994109543659,1.408949202859949
PCV13 vs PCV7,19A,0.9698769213766807,0.8339166286714639,1.128003939815545
PCV13 vs PCV10,6B,1,0.911963376810788,1.096535261642944
PCV13 vs PCV10,9V,1,0.88809652771929,1.1260037268337124
PCV13 vs PCV10,14,1.0365126187587632,0.9076749397395596,1.1836378441321913
PCV13 vs PCV10,19F,0.9099621444188368,0.6723437817636775,1.2315591022545862
PCV13 vs PCV10,23F,1.0739653231546242,0.8484557869556842,1.3594126330107286
PCV13 vs PCV10,1,1.0087503169866232,0.9169942025232706,1.1096877158225975
PCV13 vs PCV10,5,1,0.8107500183801827,1.23342581230886
PCV13 vs PCV10,6A,0.6905725970864082,0.4490314771392016,1.0620424984122627
PCV13 vs PCV10,7F,0.9221051277910158,0.7247108142671161,1.173265045807758
PCV13 vs PCV10,19A,0.9107268347280171,0.6048185979456994,1.3713589005214064
PCV14 vs PCV13,4,1.0483745683622823,0.8528943646690836,1.2886581048231451
PCV14 vs PCV13,6B,0.8989319559719318,0.7216631426668446,1.1197449525845775
PCV14 vs PCV13,9V,1,0.9250129772826133,1.0810659142725478
PCV14 vs PCV13,14,0.9284053103737264,0.7644074901868014,1.1275876170699222
PCV14 vs PCV13,18C,1.1109059934704426,0.7890433749562964,1.5640611980259083
PCV14 vs PCV13,19F,1.0028599367205298,0.8945079225799825,1.1243366629759255
PCV14 vs PCV13,23F,0.9930587588224953,0.8302677720603714,1.187768249786248
PCV14 vs PCV13,1,1.1059869222873122,0.7923074951393391,1.543853970553998
PCV14 vs PCV13,3,1,0.9706489319260703,1.0302386033802027
PCV14 vs PCV13,5,1,0.9169265639292608,1.0905998793564762
PCV14 vs PCV13,7F,1.0342307570169784,0.8709228544200741,1.2281607415988118
PCV14 vs PCV13,19A,1.00269060356921,0.8705506871870083,1.154887890255623
PCV15 vs PCV13,4,1.000859222094512,0.9839652637992207,1.0180432372011394
PCV15 vs PCV13,6B,1.0326314239535979,0.9877669317465969,1.0795336667638031
PCV15 vs PCV13,9V,1,0.9895632928610198,1.010546780801464
PCV15 vs PCV13,14,1.063720563707176,1.003615873064693,1.1274248126410173
PCV15 vs PCV13,18C,1.0023699304606557,0.9736192213448399,1.0319696401472702
PCV15 vs PCV13,19F,1.0008444075862628,0.9819273675741436,1.0201258884059583
PCV15 vs PCV13,23F,1.0021062487055858,0.9739760523622744,1.031048896180929
PCV15 vs PCV13,1,1.0133876134609963,0.9418422371900882,1.090367807436637
PCV15 vs PCV13,3,1,0.9493381851793219,1.05336540298451
PCV15 vs PCV13,5,1,0.9635646033979445,1.037813133103446
PCV15 vs PCV13,6A,1.2469936863883242,1.126441147131374,1.3804478448362179
PCV15 vs PCV13,7F,1.0402022538582718,0.9771735181282846,1.1072964103697491
PCV15 vs PCV13,19A,1.00042771211564,0.9770251166576,1.0243908678549207
PCV20 vs PCV13,4,1.009224194514389,0.9106028537656083,1.1185265569740797
PCV20 vs PCV13,6B,1,0.8894757523590582,1.124257740975862
PCV20 vs PCV13,9V,1,0.9553113013124643,1.0467792002733975
PCV20 vs PCV13,14,1.0248129183210262,0.9659731048096432,1.0872368105575996
PCV20 vs PCV13,18C,1.0369217509953368,0.9325436720159684,1.1529826966310956
PCV20 vs PCV13,19F,1,0.967180387926498,1.033933289470295
PCV20 vs PCV13,23F,1.0109630234934066,0.923123416908445,1.1071609886073297
PCV20 vs PCV13,1,1.011338860698548,0.8885486121193701,1.151097730848327
PCV20 vs PCV13,3,1,0.9561059662490436,1.045909172518983
PCV20 vs PCV13,5,1,0.9229659629441584,1.0834635730337352
PCV20 vs PCV13,6A,1.124349645859192,1.0034768487604122,1.2597820544692198
PCV20 vs PCV13,7F,1.0266130907859736,0.938827584866245,1.1226070208868906
PCV20 vs PCV13,19A,1.0000421388772804,0.9772549546895545,1.0233606642065516
